Designator,Footprint,Quantity,Value,LCSC Part #,MoQ,Harga,Total Harga,MoQ,Qty Unit,Price,Qty,Total Price,Store,Tokopedia
"C1, C3",CP_EIA-3528-12_Kemet-T,_(* 2_),10u,,_(* 2_),_(* 4204_),_(* 8408_),_(* 2_),_(* 1_),_(* 4204_),_(* 10_),_(* 42040_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/10uf-10-25v-case-b-3528-e106-smd-tantalum-capacitor-xiangyee-ca45-b025k106t-1729925991169164773?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
"C10, C11, C12, C13, C14, C15, C19, C2, C20, C22, C4, C9",0603,_(* 12_),100n,,_(* 50_),_(* 200_),_(* 10000_),_(* 10_),_(* 5_),_(* 200_),_(* 10_),_(* 10000_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/100nf-10-100v-x7r-0603-1608-mm-capacitor-yageo-cc0603krx7r0bb104?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
"C16, C17",0603,_(* 2_),2.2u,,_(* 40_),_(* 249_),_(* 9960_),_(* 8_),_(* 5_),_(* 249_),_(* 8_),_(* 9960_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/2-2uf-10-16v-x5r-0603-1608-mm-smd-ceramic-capacitor-mlcc-samsung?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
C21,0603,_(* 1_),22p,,_(* 60_),_(* 149_),_(* 8940_),_(* 12_),_(* 5_),_(* 149_),_(* 12_),_(* 8940_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/22pf-5-50v-np0-c0g-0603-1608-mm-capacitor-yageo-cc0603jrnpo9bn220?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
"C5, C6",0603,_(* 2_),10p,,_(* 50_),_(* 199_),_(* 9950_),_(* 10_),_(* 5_),_(* 199_),_(* 10_),_(* 9950_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/10pf-5-50v-np0-c0g-0603-1608-mm-smd-multilayer-ceramic-capacitor-mlcc-smt-yageo-cc0603jrnpo9bn100?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
"C7, C8",0603,_(* 2_),20p,,_(* 75_),_(* 189_),_(* 14175_),_(* 15_),_(* 5_),_(* 189_),_(* 15_),_(* 14175_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/5-buah-20pf-0603-50v-c0g-5-smd-mlcc-ceramic-capacitor-cctc-tcc0603cog200j500ct-5-pcs-1735677990402885093?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
D1,D_SOD-323,_(* 1_),LESD3Z5.0T1G,,_(* 1_),_(* 899_),_(* 899_),_(* 1_),_(* 1_),_(* 899_),_(* 10_),_(* 8990_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/lesd5z5-0t1g-zf-5v-transient-voltage-suppressors-for-esd-protection
D2,D_SOD-323,_(* 1_),LESD3Z3.3T1G,,_(* 10_),_(* 899_),_(* 8990_),_(* 10_),_(* 1_),_(* 899_),_(* 10_),_(* 8990_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/lesd5z3-3t1g-ze-3-3v-transient-voltage-suppressors-for-esd-protection
FB1,0603,_(* 1_),1k 100MHz,,_(* 20_),_(* 350_),_(* 7000_),_(* 20_),_(* 1_),_(* 350_),_(* 20_),_(* 7000_),BRIGHTEN SHOP,https://www.tokopedia.com/brighten/samwha-ferrite-bead-600-ohm-smd-0603-cb1608pk601t-beads?extParam=ivf%3Dfalse%26keyword%3Dferrite+bead+0603+1k%26search_id%3D2026083104094640008B9A5380FC14318U%26src%3Dsearch
"J2, J4, J6, J8",PinHeader_1x13_P2.54mm_Vertical,_(* 4_),Conn_01x13,,,,,,,,,,,
"J3, J5, J7, J9",PinHeader_1x12_P2.54mm_Vertical,_(* 4_),Conn_01x12,,,,,,,,,,,
L1,L_7.3x7.3_H4.5,_(* 1_),2.2u,,_(* 5_),_(* 2500_),_(* 12500_),_(* 5_),_(* 1_),_(* 2500_),_(* 6_),_(* 15000_),BRIGHTEN SHOP,https://www.tokopedia.com/brighten/spc7040-2r2m-induktor-smd-2-2uh-2r2-4-3a-1731289283232171543?extParam=ivf%3Dfalse%26keyword%3D2.2uh%26search_id%3D20260831040530C203D8A151612A3A1IXS%26src%3Dsearch
R1,0603,_(* 1_),10k,,_(* 100_),_(* 200_),_(* 20000_),_(* 20_),_(* 5_),_(* 200_),_(* 20_),_(* 20000_),Lisu Instruments,https://www.tokopedia.com/lisuinstrument/10k-0603-1-100mw-75v-100ppm-c-thick-film-resistor-10k-rca0310kflf-hkr?extParam=src%3Dshop%26whid%3D580205&aff_unique_id=&channel=others&chain_key=
