"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D3,D2";"D_DO-34_SOD68_P7.62mm_Horizontal";2;"HER208";;;
2;"TP2,TP3,TP1,TP4,TP7";"TestPoint_Bridge_Pitch2.54mm_Drill1.0mm";5;"TestPoint";;;
3;"J2";"PinHeader_1x03_P5.08mm_Horizontal_2";1;"Conn_01x03";;;
4;"U3,U2";"DIP-4_W7.62mm_Socket";2;"PC817";;;
5;"R4,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"330Ω";;;
6;"C2";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"10nF 63";;;
7;"TP6,TP5";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm_NoSilkscreen";2;"TestPoint";;;
8;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"byv26";;;
9;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1kΩ";;;
10;"L1";"L_CommonMode_Toroid_Horizontal_OD23mm_ID14mm_H8mm";1;"L_Ferrite_Coupled";;;
11;"C3";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"0.022uF 400";;;
12;"U1";"DIP-8_W7.62mm_Socket";1;"NE555P";;;
13;"C5";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"100nF 400";;;
14;"C4";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"100nF 100";;;
15;"Q1";"TO-220-3_Horizontal_TabDown";1;"IRF840";;;
16;"C1";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"2.2nF 100";;;
17;"C6";"CP_Radial_D12.5mm_P5.00mm";1;"470µF 35V";;;
18;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"5.6kΩ";;;
19;"J1";"PinHeader_1x04_P2.54mm_Horizontal_2";1;"Conn_01x05";;;
