"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","2.2nF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",""
"C2","470pF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",""
"C3","0.022uF 275V MKP","~","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","1",""
"C4","100nF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",""
"C5","10nF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",""
"D1","byv26","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","1",""
"D2,D3","HER208","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","2",""
"J1","Conn_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1",""
"J2","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P5.08mm_Horizontal","1",""
"L1","Isolation Transformer (Custom)","~","Inductor_THT:L_CommonMode_Toroid_Vertical_L30.5mm_W15.2mm_Px10.16mm_Py20.32mm_Bourns_8100","1",""
"Q1","IRF840","http://www.irf.com/product-info/datasheets/data/irf540n.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"R1","1kΩ","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","5.6kΩ","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R3,R4","330Ω","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"U1","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2,U3","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","2",""
