"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1,L5,L4,L3,L6,L7,L2";"L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC";7;"L";;;
2;"Q3,Q1,Q2";"TO-247-3_Vertical";3;"IRFPE50";;;
3;"D7";"D_DO-201AE_P15.24mm_Horizontal";1;"10A10";;;
4;"J9,J8";"Molex_KK-396_5273-03A_1x03_P3.96mm_Vertical_2";2;"Conn_01x03";;;
5;"D9,D8";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
6;"D2,D1,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N47xxA";;;
7;"R1,R2,R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";3;"6.2Ω";;;
8;"D5,D6";"D_DO-201AE_P15.24mm_Horizontal";2;"1.5KExxA";;;
9;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"6.2Ω";;;
10;"C6";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"2.2nF";;;
11;"U2";"ESU-REM-4.0";1;"~";;;
12;"CR2,CR1";"TO-220-3_Vertical";2;"~";;;
13;"U4";"DIP-4_W7.62mm_Socket";1;"PC817";;;
14;"C1,C3,C4";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";3;"100nF";;;
15;"U1";"DIP-8_W7.62mm";1;"TC4422";;;
16;"J3,J2";"Molex_KK-396_5273-05A_1x05_P3.96mm_Vertical_2";2;"Conn_01x05";;;
17;"C2";"CP_Radial_D22.0mm_P10.00mm_SnapIn";1;"C_Polarized";;;
18;"U3";"ESU-MSD-1.0";1;"~";;;
19;"J1";"PinSocket_1x16_P2.54mm_Vertical_2";1;"Conn_01x16";;;
20;"CON-01";"KF7.62-4Pole";1;"Screw_Terminal_01x04";;;
21;"K1,K2";"Relay_SPDT_RAYEX-L90";2;"RAYEX-L90";;;
22;"C5";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"6.8nF";;;
23;"D4";"D_DO-201AE_P15.24mm_Horizontal";1;"SB5H100";;;
24;"R5";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"120Ω";;;
