Reference,Value,Footprint,Qty,,
C1,2.2nF,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm,2,,https://www.tokopedia.com/wonderland-elec/wima-fkp-2-222-2200pf-0-0022uf-100v-black-print
C2,10nF,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm,2,470pF,https://www.tokopedia.com/elantech/wima-10nf-103-0-01uf-j-63v-capacitor-kapasitor-elantech
,10nF,,1,,https://www.tokopedia.com/wonderland-elec/genuine-wima-mkp10-0-01uf-10nf-1000v-600v
C3,0.022uF 400V MKP,Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4,2,,https://www.tokopedia.com/wonderland-elec/genuine-wima-mkp10-capacitors-0-022uf-22nf-400v-10
C4,22nF,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm,1,,https://www.tokopedia.com/elantech/wima-22nf-223-0-022uf-j-100v-capacitor-kapasitor-elantech
"C5,C6,C8,C10",100nF,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm,5,,https://www.tokopedia.com/elantech/wima-100nf-104-0-1uf-j-100v-capacitor-kapasitor-elantech
"C7,C9",470uF 50V,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,2,,https://www.tokopedia.com/wonderland-elec/panasonic-fm-470uf-50v-very-low-impedance-electrolytic-capacitor-105-c
"C11,C12",2.2nF 2000V/700,Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4,2,,https://www.tokopedia.com/smgjayatronik/capacitor-kapasitor-mkp-2000v-vdc-8-2nf-wima
D1,byv26,Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal,2,,https://www.tokopedia.com/akaspro/byv26-byv26c-orginal
"D2,D3",1N4148,Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal,2,,https://www.tokopedia.com/elantech/1n4148-diode-fairchild-semtech-1n-4148-substitusi-1n914-dioda-elantech-fairchild
,HER208,Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal,2,,https://www.tokopedia.com/indo-ware/dioda-her208-her-208-do-41-diode
"J1,J2",Conn_01x03,-- mixed values --,3,,
,Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal,1,,
L1,Isolated Transformer (Custom),Inductor_THT:L_CommonMode_Toroid_Vertical_L30.5mm_W15.2mm_Px10.16mm_Py20.32mm_Bourns_8100,1,,
,Isolated Transformer (Custom),Inductor_THT:L_CommonMode_Toroid_Vertical_L30.5mm_W15.2mm_Px10.16mm_Py20.32mm_Bourns_8100,1,,
Q1,IRF840,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,2,,https://www.tokopedia.com/indo-ware/irf840-irf-840-irf840-irf-840
"R1,R6",1kΩ,-- mixed values --,3,,https://www.tokopedia.com/elantech/resistor-yageo-1k-1-4w-1-0-25w-1-k-1-4-w-1-kilo-ohm-elantech
R2,5.6kΩ,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,,https://www.tokopedia.com/elantech/resistor-yageo-5k6-1-4w-1-0-25w-5-6k-1-4-w-5-6-kilo-ohm-elantech
R3,330Ω,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,,https://www.tokopedia.com/elantech/resistor-yageo-330r-1-4w-1-0-25w-1-4-w-330-ohm-elantech
R4,R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,,
R5,4.7kΩ,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,,https://www.tokopedia.com/elantech/resistor-yageo-4k7-1-4w-1-0-25w-4-7k-1-4-w-4-7-kilo-ohm-elantech
R7,10kΩ,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,,https://www.tokopedia.com/elantech/resistor-yageo-10k-1-4w-1-0-25w-1-4-w-10-kilo-ohm-elantech
"R8,R9",3.3Ω,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,,https://www.tokopedia.com/elantech/resistor-3r3-2w-uniohm-metal-oxide-3-3-ohm-miniature-size-1w-elantech
"RV1,RV2",1kΩ,Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal,2,,https://www.tokopedia.com/indo-ware/3296x-102-1k-ohm-1-k-multiturn-trimpot-trimmer-variable-resistor
"TP1,TP2,TP5,TP6,TP7",~,TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm,5,,
U1,NE555P,Package_DIP:DIP-8_W7.62mm_Socket,2,,https://www.tokopedia.com/indo-ware/ne555p-ne555-ne-555-ne555-ne-555-ne555p-dip-ic-precision-timer
U2,NE5534,Package_DIP:DIP-8_W7.62mm_Socket,1,,https://www.tokopedia.com/elantech/tl071-tl-071-cp-texas-instrument-ti-ori-original-asli-elantech
,PC817,Package_DIP:DIP-4_W7.62mm,2,,https://www.tokopedia.com/indo-ware/pc-817-pc817-817-optocoupler-photocoupler-phototransistor
,,,,,https://www.tokopedia.com/indo-ware/soket-ic-8p-socket-ic-8-pin-8pin-dip
