"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C11";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";2;"0.01µF 1000";;;
2;"J2";"PinHeader_1x03_P5.08mm_Horizontal_2";1;"PinHeader_2.54mm 02x05 Horizontal";;;
3;"C1";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"2.2nF 100";;;
4;"J1";"PinHeader_1x04_P2.54mm_Horizontal_2";1;"PinHeader_2.54mm 02x04 Horizontal";;;
5;"TP7,TP5,TP6,TP2,TP1";"TestPoint_Bridge_Pitch2.54mm_Drill1.0mm";5;"~";;;
6;"L1";"L_CommonMode_Toroid_Horizontal_OD23mm_ID14mm_H8mm";1;"Isolated Transformer (Custom)";;;
7;"R9,R8";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";2;"33Ω 2W";;;
8;"C4";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"22nF 100";;;
9;"JP2,JP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm_NoSilkscreen";2;"TestPoint";;;
10;"Q1";"TO-220-3_Horizontal_TabDown";1;"IRF840";;;
11;"JP7,JP8";"TestPoint_THTPad_D1.5mm_Drill0.7mm";2;"TestPoint";;;
12;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1kΩ";;;
13;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"5.6kΩ";;;
14;"C5,C6,C8";"C_Rect_L7.0mm_W3.5mm_P5.00mm";3;"100nF 100";;;
15;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"4.7kΩ";;;
16;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330Ω";;;
17;"C3";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"0.022µF 400V";;;
18;"C7";"CP_Radial_D12.5mm_P5.00mm";1;"470uF 50V";;;
19;"U1";"DIP-8_W7.62mm_Socket";1;"NE555P";;;
20;"D2,D3";"D_DO-34_SOD68_P7.62mm_Horizontal";2;"1N4148";;;
21;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"byv26";;;
22;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10k";;;
23;"C2";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"10nF 63";;;
24;"RV1";"Potentiometer_Bourns_3296X_Horizontal";1;"1kΩ";;;
