Time(s),CH1V
-1.000000e-05,-7.039995e-02
-9.900000e-06,-1.475999e-01
-9.800000e-06,-1.283999e-01
-9.700000e-06,-7.039995e-02
-9.600000e-06,-8.959994e-02
-9.500000e-06,-1.347999e-01
-9.400000e-06,-8.319994e-02
-9.300000e-06,-1.283999e-01
-9.200000e-06,-8.319994e-02
-9.100000e-06,-1.475999e-01
-9.000000e-06,-1.155999e-01
-8.900000e-06,-3.839997e-02
-8.800000e-06,-1.667999e-01
-8.700000e-06,-1.411999e-01
-8.600000e-06,-5.759996e-02
-8.500000e-06,-1.155999e-01
-8.400000e-06,-1.027999e-01
-8.300000e-06,-1.283999e-01
-8.200000e-06,-7.679994e-02
-8.100000e-06,-1.539999e-01
-8.000000e-06,-1.027999e-01
-7.900000e-06,-1.347999e-01
-7.800000e-06,-8.959994e-02
-7.700000e-06,-5.119997e-02
-7.600000e-06,-1.027999e-01
-7.500000e-06,-1.603999e-01
-7.400000e-06,-1.027999e-01
-7.300000e-06,-3.199998e-02
-7.200000e-06,-1.219999e-01
-7.100000e-06,-1.091999e-01
-7.000000e-06,-1.155999e-01
-6.900000e-06,-1.475999e-01
-6.800000e-06,-8.959994e-02
-6.700000e-06,-1.155999e-01
-6.600000e-06,-9.639993e-02
-6.500000e-06,-2.559998e-02
-6.400000e-06,-1.411999e-01
-6.300000e-06,-7.679994e-02
-6.200000e-06,-8.319994e-02
-6.100000e-06,-8.319994e-02
-6.000000e-06,-9.639993e-02
-5.900000e-06,-1.283999e-01
-5.800000e-06,-1.027999e-01
-5.700000e-06,-3.839997e-02
-5.600000e-06,-1.731999e-01
-5.500000e-06,-7.039995e-02
-5.400000e-06,-1.411999e-01
-5.300000e-06,-1.155999e-01
-5.200000e-06,-1.283999e-01
-5.100000e-06,-8.319994e-02
-5.000000e-06,-1.283999e-01
-4.900000e-06,-1.155999e-01
-4.800000e-06,-1.475999e-01
-4.700000e-06,-1.283999e-01
-4.600000e-06,-1.283999e-01
-4.500000e-06,-9.639993e-02
-4.400000e-06,-1.475999e-01
-4.300000e-06,-1.219999e-01
-4.200000e-06,-1.219999e-01
-4.100000e-06,-6.399996e-02
-4.000000e-06,-1.667999e-01
-3.900000e-06,-1.155999e-01
-3.800000e-06,-1.667999e-01
-3.700000e-06,-1.539999e-01
-3.600000e-06,-1.027999e-01
-3.500000e-06,-1.475999e-01
-3.400000e-06,-9.639993e-02
-3.300000e-06,-1.347999e-01
-3.200000e-06,-2.055999e-01
-3.100000e-06,-1.539999e-01
-3.000000e-06,-1.091999e-01
-2.900000e-06,-1.283999e-01
-2.800000e-06,-8.319994e-02
-2.700000e-06,-1.475999e-01
-2.600000e-06,-1.155999e-01
-2.500000e-06,-1.155999e-01
-2.400000e-06,-1.667999e-01
-2.300000e-06,-1.603999e-01
-2.200000e-06,-1.091999e-01
-2.100000e-06,-1.283999e-01
-2.000000e-06,-1.155999e-01
-1.900000e-06,-1.799999e-01
-1.800000e-06,-1.155999e-01
-1.700000e-06,-9.639993e-02
-1.600000e-06,-1.731999e-01
-1.500000e-06,-1.347999e-01
-1.400000e-06,-1.091999e-01
-1.300000e-06,-1.155999e-01
-1.200000e-06,-2.311998e-01
-1.100000e-06,-1.091999e-01
-1.000000e-06,-1.283999e-01
-9.000000e-07,-4.479997e-02
-8.000000e-07,-1.731999e-01
-7.000000e-07,-1.155999e-01
-6.000000e-07,-7.039995e-02
-5.000000e-07,-1.219999e-01
-4.000000e-07,-1.475999e-01
-3.000000e-07,-1.155999e-01
-2.000000e-07,-1.603999e-01
-1.000000e-07,-5.999996e-03
1.037615e-20,-1.189599e+00
1.000000e-07,-3.871197e+00
2.000000e-07,-5.916396e+00
3.000000e-07,-6.668796e+00
4.000000e-07,-7.292795e+00
5.000000e-07,-8.437594e+00
6.000000e-07,-9.421594e+00
7.000000e-07,-9.929593e+00
8.000000e-07,-1.004519e+01
9.000000e-07,-9.871593e+00
1.000000e-06,-9.620793e+00
1.100000e-06,-7.434395e+00
1.200000e-06,-3.176798e+00
1.300000e-06,1.459999e+00
1.400000e-06,5.801196e+00
1.500000e-06,8.206394e+00
1.600000e-06,7.614795e+00
1.700000e-06,6.759595e+00
1.800000e-06,7.492795e+00
1.900000e-06,7.981595e+00
2.000000e-06,7.267595e+00
2.100000e-06,6.707995e+00
2.200000e-06,6.740396e+00
2.300000e-06,6.759595e+00
2.400000e-06,6.315596e+00
2.500000e-06,6.032796e+00
2.600000e-06,5.492396e+00
2.700000e-06,4.695197e+00
2.800000e-06,3.781997e+00
2.900000e-06,2.598398e+00
3.000000e-06,1.466399e+00
3.100000e-06,4.631997e-01
3.200000e-06,-6.751996e-01
3.300000e-06,-1.440399e+00
3.400000e-06,-2.115599e+00
3.500000e-06,-2.649598e+00
3.600000e-06,-2.964398e+00
3.700000e-06,-3.035198e+00
3.800000e-06,-2.945198e+00
3.900000e-06,-2.623598e+00
4.000000e-06,-2.391998e+00
4.100000e-06,-1.851999e+00
4.200000e-06,-1.375999e+00
4.300000e-06,-8.743994e-01
4.400000e-06,-3.727998e-01
4.500000e-06,9.679993e-02
4.600000e-06,4.439997e-01
4.700000e-06,8.491994e-01
4.800000e-06,1.009999e+00
4.900000e-06,1.215599e+00
5.000000e-06,1.254399e+00
5.100000e-06,1.241599e+00
5.200000e-06,1.067999e+00
5.300000e-06,9.519994e-01
5.400000e-06,7.267995e-01
5.500000e-06,4.891997e-01
5.600000e-06,1.547999e-01
5.700000e-06,-8.319994e-02
5.800000e-06,-2.439998e-01
5.900000e-06,-3.727998e-01
6.000000e-06,-5.591996e-01
6.100000e-06,-6.943995e-01
6.200000e-06,-7.327995e-01
6.300000e-06,-7.071995e-01
6.400000e-06,-7.651995e-01
6.500000e-06,-6.815996e-01
6.600000e-06,-5.399996e-01
6.700000e-06,-5.011997e-01
6.800000e-06,-3.403998e-01
6.900000e-06,-3.083998e-01
7.000000e-06,-1.927999e-01
7.100000e-06,-7.039995e-02
7.200000e-06,-2.559998e-02
7.300000e-06,6.439996e-02
7.400000e-06,2.059999e-01
7.500000e-06,2.315998e-01
7.600000e-06,2.059999e-01
7.700000e-06,1.095999e-01
7.800000e-06,1.547999e-01
7.900000e-06,1.867999e-01
8.000000e-06,7.119995e-02
8.100000e-06,6.799995e-03
8.200000e-06,-1.239999e-02
8.300000e-06,-6.399996e-02
8.400000e-06,-1.927999e-01
8.500000e-06,-1.667999e-01
8.600000e-06,-2.119998e-01
8.700000e-06,-2.247998e-01
8.800000e-06,-2.827998e-01
8.900000e-06,-1.475999e-01
9.000000e-06,-2.635998e-01
9.100000e-06,-2.119998e-01
9.200000e-06,-1.927999e-01
9.300000e-06,-1.863999e-01
9.400000e-06,-1.475999e-01
9.500000e-06,-9.639993e-02
9.600000e-06,-1.731999e-01
9.700000e-06,-1.155999e-01
9.800000e-06,-4.479997e-02
9.900000e-06,-1.155999e-01
1.000000e-05,-4.479997e-02
1.010000e-05,-5.999996e-03
1.020000e-05,-3.839997e-02
1.030000e-05,-5.119997e-02
1.040000e-05,-8.319994e-02
1.050000e-05,-2.559998e-02
1.060000e-05,-2.559998e-02
1.070000e-05,-5.999996e-03
1.080000e-05,-8.959994e-02
1.090000e-05,-8.959994e-02
1.100000e-05,-1.219999e-01
1.110000e-05,-8.959994e-02
1.120000e-05,-1.603999e-01
1.130000e-05,-1.667999e-01
1.140000e-05,-1.411999e-01
1.150000e-05,-1.731999e-01
1.160000e-05,-1.091999e-01
1.170000e-05,-1.219999e-01
1.180000e-05,-1.091999e-01
1.190000e-05,-1.283999e-01
1.200000e-05,-1.347999e-01
1.210000e-05,-1.283999e-01
1.220000e-05,-1.667999e-01
1.230000e-05,-1.603999e-01
1.240000e-05,-3.839997e-02
1.250000e-05,-9.639993e-02
1.260000e-05,-8.319994e-02
1.270000e-05,-5.999996e-03
1.280000e-05,-7.679994e-02
1.290000e-05,-8.319994e-02
1.300000e-05,-3.199998e-02
1.310000e-05,-1.919999e-02
1.320000e-05,-8.319994e-02
1.330000e-05,-7.039995e-02
1.340000e-05,-5.759996e-02
1.350000e-05,-2.559998e-02
1.360000e-05,-6.399996e-02
1.370000e-05,-3.199998e-02
1.380000e-05,-6.399996e-02
1.390000e-05,-7.039995e-02
1.400000e-05,-1.411999e-01
1.410000e-05,-1.219999e-01
1.420000e-05,-1.027999e-01
1.430000e-05,-1.155999e-01
1.440000e-05,-1.411999e-01
1.450000e-05,-3.199998e-02
1.460000e-05,-7.039995e-02
1.470000e-05,-7.679994e-02
1.480000e-05,-1.283999e-01
1.490000e-05,-1.603999e-01
1.500000e-05,-1.603999e-01
1.510000e-05,-6.399996e-02
1.520000e-05,-1.027999e-01
1.530000e-05,-1.219999e-01
1.540000e-05,-5.119997e-02
1.550000e-05,-7.039995e-02
1.560000e-05,-6.399996e-02
1.570000e-05,-9.639993e-02
1.580000e-05,-1.283999e-01
1.590000e-05,1.959999e-02
1.600000e-05,-1.731999e-01
1.610000e-05,-3.839997e-02
1.620000e-05,-8.959994e-02
1.630000e-05,-8.319994e-02
1.640000e-05,-5.759996e-02
