Time(s),CH1V
-8.000000e-06,-6.400000e-03
-7.920000e-06,-1.093333e-02
-7.840000e-06,4.933333e-03
-7.760000e-06,-1.866667e-03
-7.680000e-06,-1.546667e-02
-7.600000e-06,-2.680000e-02
-7.520000e-06,-2.000000e-02
-7.440000e-06,-4.133333e-03
-7.360000e-06,-1.773333e-02
-7.280000e-06,-6.400000e-03
-7.200000e-06,4.000000e-04
-7.120000e-06,-1.546667e-02
-7.040000e-06,-6.400000e-03
-6.960000e-06,-2.226667e-02
-6.880000e-06,-6.400000e-03
-6.800000e-06,-4.026667e-02
-6.720000e-06,-4.480000e-02
-6.640000e-06,-1.320000e-02
-6.560000e-06,-1.093333e-02
-6.480000e-06,-1.866667e-03
-6.400000e-06,3.880000e-02
-6.320000e-06,-1.866667e-03
-6.240000e-06,-1.866667e-03
-6.160000e-06,-6.400000e-03
-6.080000e-06,-6.400000e-03
-6.000000e-06,-6.400000e-03
-5.920000e-06,-2.453333e-02
-5.840000e-06,-1.320000e-02
-5.760000e-06,4.000000e-04
-5.680000e-06,-1.866667e-03
-5.600000e-06,-8.666667e-03
-5.520000e-06,-1.773333e-02
-5.440000e-06,-6.400000e-03
-5.360000e-06,-1.773333e-02
-5.280000e-06,-1.320000e-02
-5.200000e-06,-1.866667e-03
-5.120000e-06,-1.866667e-03
-5.040000e-06,-6.400000e-03
-4.960000e-06,-1.773333e-02
-4.880000e-06,-1.320000e-02
-4.800000e-06,7.200000e-03
-4.720000e-06,-1.093333e-02
-4.640000e-06,-1.093333e-02
-4.560000e-06,-1.866667e-03
-4.480000e-06,-1.093333e-02
-4.400000e-06,-6.400000e-03
-4.320000e-06,-6.400000e-03
-4.240000e-06,1.173333e-02
-4.160000e-06,4.000000e-04
-4.080000e-06,-8.666667e-03
-4.000000e-06,4.933333e-03
-3.920000e-06,2.666667e-03
-3.840000e-06,-1.866667e-03
-3.760000e-06,2.666667e-03
-3.680000e-06,-1.320000e-02
-3.600000e-06,-1.546667e-02
-3.520000e-06,-1.546667e-02
-3.440000e-06,-1.546667e-02
-3.360000e-06,-2.226667e-02
-3.280000e-06,-4.133333e-03
-3.200000e-06,-1.546667e-02
-3.120000e-06,-1.093333e-02
-3.040000e-06,-1.093333e-02
-2.960000e-06,-1.320000e-02
-2.880000e-06,-4.133333e-03
-2.800000e-06,7.200000e-03
-2.720000e-06,-1.093333e-02
-2.640000e-06,9.466667e-03
-2.560000e-06,-1.093333e-02
-2.480000e-06,-8.666667e-03
-2.400000e-06,-1.093333e-02
-2.320000e-06,-1.320000e-02
-2.240000e-06,-1.773333e-02
-2.160000e-06,-6.400000e-03
-2.080000e-06,-2.000000e-02
-2.000000e-06,-8.666667e-03
-1.920000e-06,-1.093333e-02
-1.840000e-06,-1.320000e-02
-1.760000e-06,7.200000e-03
-1.680000e-06,2.666667e-03
-1.600000e-06,-1.866667e-03
-1.520000e-06,4.000000e-04
-1.440000e-06,-1.093333e-02
-1.360000e-06,-6.400000e-03
-1.280000e-06,-1.866667e-03
-1.200000e-06,-6.400000e-03
-1.120000e-06,-1.773333e-02
-1.040000e-06,-1.546667e-02
-9.600000e-07,-2.226667e-02
-8.800000e-07,-1.546667e-02
-8.000000e-07,-1.093333e-02
-7.200000e-07,-1.093333e-02
-6.400000e-07,-1.093333e-02
-5.600000e-07,-1.320000e-02
-4.800000e-07,-2.906667e-02
-4.000000e-07,-1.320000e-02
-3.200000e-07,-2.453333e-02
-2.400000e-07,-2.000000e-02
-1.600000e-07,-6.400000e-03
-8.000000e-08,4.000000e-04
3.891058e-21,8.820000e-01
8.000000e-08,3.273467e+00
1.600000e-07,3.298267e+00
2.400000e-07,3.293867e+00
3.200000e-07,3.278000e+00
4.000000e-07,3.293867e+00
4.800000e-07,3.302800e+00
5.600000e-07,3.302800e+00
6.400000e-07,3.291600e+00
7.200000e-07,3.298267e+00
8.000000e-07,3.291600e+00
8.800000e-07,3.296133e+00
9.600000e-07,3.296133e+00
1.040000e-06,3.300533e+00
1.120000e-06,3.289333e+00
1.200000e-06,3.289333e+00
1.280000e-06,3.309600e+00
1.360000e-06,3.296133e+00
1.440000e-06,3.291600e+00
1.520000e-06,3.293867e+00
1.600000e-06,3.284800e+00
1.680000e-06,3.302800e+00
1.760000e-06,3.289333e+00
