Time(s),CH1V
-7.000000e-06,-5.141333e-01
-6.930000e-06,-5.465667e-01
-6.860000e-06,-5.366667e-01
-6.790000e-06,-5.463000e-01
-6.720000e-06,-5.443667e-01
-6.650000e-06,-4.993000e-01
-6.580000e-06,-4.789667e-01
-6.510000e-06,-3.836333e-01
-6.440000e-06,-2.537000e-01
-6.370000e-06,-9.710000e-02
-6.300000e-06,8.093333e-02
-6.230000e-06,2.567667e-01
-6.160000e-06,4.298667e-01
-6.090000e-06,5.724334e-01
-6.020000e-06,6.870000e-01
-5.950000e-06,7.584333e-01
-5.880000e-06,7.870333e-01
-5.810000e-06,7.752000e-01
-5.740000e-06,7.194334e-01
-5.670000e-06,6.326000e-01
-5.600000e-06,5.172333e-01
-5.530000e-06,3.875333e-01
-5.460000e-06,2.540333e-01
-5.390000e-06,1.218667e-01
-5.320000e-06,4.000000e-03
-5.250000e-06,-9.270000e-02
-5.180000e-06,-1.652333e-01
-5.110000e-06,-2.075333e-01
-5.040000e-06,-2.240333e-01
-4.970000e-06,-2.146667e-01
-4.900000e-06,-1.872000e-01
-4.830000e-06,-1.394000e-01
-4.760000e-06,-8.390000e-02
-4.690000e-06,-2.540000e-02
-4.620000e-06,3.150000e-02
-4.550000e-06,7.573333e-02
-4.480000e-06,1.084000e-01
-4.410000e-06,1.205000e-01
-4.340000e-06,1.161000e-01
-4.270000e-06,9.496666e-02
-4.200000e-06,5.566667e-02
-4.130000e-06,1.800000e-03
-4.060000e-06,-5.806667e-02
-3.990000e-06,-1.196333e-01
-3.920000e-06,-1.800667e-01
-3.850000e-06,-2.405000e-01
-3.780000e-06,-2.905000e-01
-3.710000e-06,-3.284333e-01
-3.640000e-06,-3.504000e-01
-3.570000e-06,-3.548000e-01
-3.500000e-06,-3.460000e-01
-3.430000e-06,-3.240333e-01
-3.360000e-06,-2.888667e-01
-3.290000e-06,-2.493000e-01
-3.220000e-06,-2.026000e-01
-3.150000e-06,-1.482000e-01
-3.080000e-06,-1.048000e-01
-3.010000e-06,-6.026667e-02
-2.940000e-06,-2.510000e-02
-2.870000e-06,7.866667e-03
-2.800000e-06,2.763333e-02
-2.730000e-06,3.586667e-02
-2.660000e-06,4.083334e-02
-2.590000e-06,3.643334e-02
-2.520000e-06,2.490000e-02
-2.450000e-06,1.336667e-02
-2.380000e-06,5.666667e-03
-2.310000e-06,-1.110000e-02
-2.240000e-06,-1.466667e-02
-2.170000e-06,-1.853333e-02
-2.100000e-06,-1.633333e-02
-2.030000e-06,-8.366667e-03
-1.960000e-06,6.766667e-03
-1.890000e-06,2.490000e-02
-1.820000e-06,4.906667e-02
-1.750000e-06,7.543334e-02
-1.680000e-06,1.040333e-01
-1.610000e-06,1.273667e-01
-1.540000e-06,1.474333e-01
-1.470000e-06,1.653000e-01
-1.400000e-06,1.754333e-01
-1.330000e-06,1.856000e-01
-1.260000e-06,1.853333e-01
-1.190000e-06,1.837000e-01
-1.120000e-06,1.732667e-01
-1.050000e-06,1.584000e-01
-9.800000e-07,1.413667e-01
-9.100000e-07,1.183000e-01
-8.400000e-07,1.001667e-01
-7.700000e-07,7.626667e-02
-7.000000e-07,6.006667e-02
-6.300000e-07,4.796667e-02
-5.600000e-07,3.423334e-02
-4.900000e-07,2.323333e-02
-4.200000e-07,1.720000e-02
-3.500000e-07,1.006667e-02
-2.800000e-07,8.400000e-03
-2.100000e-07,7.300000e-03
-1.400000e-07,7.866667e-03
-7.000000e-08,1.500000e-02
1.220257e-20,-8.720000e-02
7.000000e-08,-1.973667e-01
1.400000e-07,-2.432667e-01
2.100000e-07,-2.877667e-01
2.800000e-07,-3.592000e-01
3.500000e-07,-3.748667e-01
4.200000e-07,-3.899667e-01
4.900000e-07,-4.204667e-01
5.600000e-07,-4.081000e-01
6.300000e-07,-3.993000e-01
7.000000e-07,-3.685333e-01
7.700000e-07,-2.908000e-01
8.400000e-07,-1.833667e-01
9.100000e-07,-5.616667e-02
9.800000e-07,8.480000e-02
1.050000e-06,2.194000e-01
1.120000e-06,3.512667e-01
1.190000e-06,4.548667e-01
1.260000e-06,5.348000e-01
1.330000e-06,5.815000e-01
1.400000e-06,5.974333e-01
1.470000e-06,5.760334e-01
1.540000e-06,5.293000e-01
1.610000e-06,4.598000e-01
1.680000e-06,3.727000e-01
1.750000e-06,2.705000e-01
1.820000e-06,1.683000e-01
1.890000e-06,6.966667e-02
1.960000e-06,-1.523333e-02
2.030000e-06,-8.116667e-02
2.100000e-06,-1.289667e-01
2.170000e-06,-1.567000e-01
2.240000e-06,-1.586333e-01
2.310000e-06,-1.449000e-01
2.380000e-06,-1.773000e-01
2.450000e-06,-3.147000e-01
2.520000e-06,-3.811667e-01
2.590000e-06,-3.883000e-01
2.660000e-06,-4.586333e-01
2.730000e-06,-4.817334e-01
2.800000e-06,-4.746000e-01
2.870000e-06,-4.943667e-01
2.940000e-06,-4.883333e-01
3.010000e-06,-4.506667e-01
3.080000e-06,-4.158000e-01
3.150000e-06,-3.358333e-01
3.220000e-06,-2.086333e-01
3.290000e-06,-5.506667e-02
3.360000e-06,1.122667e-01
3.430000e-06,2.820333e-01
3.500000e-06,4.353667e-01
3.570000e-06,5.699667e-01
3.640000e-06,6.721666e-01
3.710000e-06,7.359334e-01
3.780000e-06,7.557000e-01
3.850000e-06,7.397667e-01
3.920000e-06,6.842667e-01
3.990000e-06,5.960667e-01
4.060000e-06,4.804000e-01
4.130000e-06,3.581667e-01
4.200000e-06,2.293000e-01
4.270000e-06,1.045667e-01
4.340000e-06,-8.066666e-03
4.410000e-06,-9.683333e-02
4.480000e-06,-1.624667e-01
4.550000e-06,-2.048000e-01
4.620000e-06,-2.229333e-01
4.690000e-06,-2.166000e-01
4.760000e-06,-1.894000e-01
4.830000e-06,-3.081000e-01
4.900000e-06,-4.284333e-01
4.970000e-06,-4.465667e-01
5.040000e-06,-4.861333e-01
5.110000e-06,-5.561666e-01
5.180000e-06,-5.438333e-01
5.250000e-06,-5.432667e-01
5.320000e-06,-5.597667e-01
5.390000e-06,-5.152333e-01
5.460000e-06,-4.855667e-01
5.530000e-06,-4.160667e-01
5.600000e-06,-3.053333e-01
5.670000e-06,-1.528667e-01
5.740000e-06,1.060000e-02
5.810000e-06,1.905667e-01
5.880000e-06,3.622667e-01
5.950000e-06,5.100667e-01
6.020000e-06,6.370000e-01
6.090000e-06,7.227333e-01
6.160000e-06,7.678000e-01
6.230000e-06,7.656000e-01
6.300000e-06,7.227333e-01
6.370000e-06,6.485667e-01
6.440000e-06,5.447000e-01
6.510000e-06,4.241000e-01
6.580000e-06,2.892000e-01
6.650000e-06,1.620000e-01
6.720000e-06,4.246667e-02
6.790000e-06,-5.836667e-02
6.860000e-06,-1.394000e-01
6.930000e-06,-1.918667e-01
7.000000e-06,-2.174333e-01
7.070000e-06,-2.188000e-01
7.140000e-06,-1.883000e-01
7.210000e-06,-2.240333e-01
7.280000e-06,-3.586333e-01
7.350000e-06,-4.353000e-01
7.420000e-06,-4.449000e-01
7.490000e-06,-5.182667e-01
7.560000e-06,-5.388667e-01
7.630000e-06,-5.213000e-01
7.700000e-06,-5.465667e-01
7.770000e-06,-5.251333e-01
7.840000e-06,-4.800667e-01
7.910000e-06,-4.410667e-01
7.980000e-06,-3.581000e-01
8.050000e-06,-2.168667e-01
8.120000e-06,-5.973333e-02
8.190000e-06,1.188667e-01
8.260000e-06,2.979667e-01
8.330000e-06,4.620000e-01
8.400000e-06,5.996333e-01
8.470000e-06,7.051333e-01
8.540000e-06,7.683333e-01
8.610000e-06,7.851000e-01
8.680000e-06,7.617334e-01
8.750000e-06,6.996667e-01
8.820000e-06,6.079000e-01
8.890000e-06,4.914000e-01
8.960000e-06,3.584333e-01
9.030000e-06,2.273667e-01
9.100000e-06,9.466667e-02
9.170000e-06,-2.100000e-02
9.240000e-06,-1.124667e-01
9.310000e-06,-1.809000e-01
9.380000e-06,-2.201667e-01
9.450000e-06,-2.309000e-01
9.520000e-06,-2.168667e-01
9.590000e-06,-1.995667e-01
9.660000e-06,-3.185333e-01
9.730000e-06,-4.355667e-01
9.800000e-06,-4.504000e-01
9.870000e-06,-4.998667e-01
9.940000e-06,-5.548000e-01
1.001000e-05,-5.336667e-01
1.008000e-05,-5.454667e-01
1.015000e-05,-5.553667e-01
1.022000e-05,-5.152333e-01
1.029000e-05,-4.806333e-01
1.036000e-05,-4.152333e-01
1.043000e-05,-2.976667e-01
1.050000e-05,-1.427000e-01
1.057000e-05,3.040000e-02
1.064000e-05,2.106000e-01
1.071000e-05,3.842667e-01
1.078000e-05,5.326000e-01
1.085000e-05,6.579000e-01
1.092000e-05,7.425000e-01
1.099000e-05,7.823333e-01
1.106000e-05,7.776667e-01
1.113000e-05,7.351000e-01
1.120000e-05,6.573333e-01
1.127000e-05,5.471666e-01
1.134000e-05,4.199667e-01
1.141000e-05,2.859000e-01
1.148000e-05,1.529333e-01
1.155000e-05,3.176667e-02
1.162000e-05,-7.016667e-02
1.169000e-05,-1.451667e-01
1.176000e-05,-1.960000e-01
1.183000e-05,-2.204667e-01
1.190000e-05,-2.168667e-01
1.197000e-05,-1.833667e-01
1.204000e-05,-2.438000e-01
1.211000e-05,-3.888667e-01
1.218000e-05,-4.366667e-01
1.225000e-05,-4.427000e-01
1.232000e-05,-5.311667e-01
1.239000e-05,-5.358667e-01
1.246000e-05,-5.279000e-01
1.253000e-05,-5.551000e-01
1.260000e-05,-5.268000e-01
1.267000e-05,-4.954667e-01
1.274000e-05,-4.438000e-01
1.281000e-05,-3.531334e-01
1.288000e-05,-2.075333e-01
1.295000e-05,-4.956667e-02
1.302000e-05,1.320333e-01
1.309000e-05,3.076000e-01
1.316000e-05,4.699667e-01
1.323000e-05,6.095334e-01
1.330000e-05,7.106333e-01
1.337000e-05,7.722000e-01
1.344000e-05,7.892333e-01
1.351000e-05,7.628334e-01
1.358000e-05,6.958000e-01
1.365000e-05,5.977333e-01
1.372000e-05,4.787667e-01
1.379000e-05,3.463333e-01
1.386000e-05,2.111667e-01
1.393000e-05,8.480000e-02
1.400000e-05,-2.070000e-02
1.407000e-05,-1.168667e-01
1.414000e-05,-1.839000e-01
1.421000e-05,-2.171667e-01
1.428000e-05,-2.273333e-01
1.435000e-05,-2.141333e-01
1.442000e-05,-1.888667e-01
1.449000e-05,-3.256667e-01
1.456000e-05,-4.328333e-01
1.463000e-05,-4.435333e-01
1.470000e-05,-4.998667e-01
1.477000e-05,-5.523334e-01
1.484000e-05,-5.317333e-01
1.491000e-05,-5.507000e-01
1.498000e-05,-5.553667e-01
1.505000e-05,-5.078334e-01
1.512000e-05,-4.729334e-01
1.519000e-05,-4.050667e-01
1.526000e-05,-2.789667e-01
1.533000e-05,-1.300667e-01
1.540000e-05,4.523334e-02
1.547000e-05,2.243667e-01
1.554000e-05,3.985333e-01
1.561000e-05,5.477334e-01
1.568000e-05,6.688667e-01
1.575000e-05,7.507667e-01
1.582000e-05,7.837334e-01
1.589000e-05,7.760333e-01
1.596000e-05,7.249333e-01
1.603000e-05,6.463667e-01
1.610000e-05,5.331666e-01
1.617000e-05,4.084333e-01
1.624000e-05,2.760000e-01
1.631000e-05,1.463333e-01
1.638000e-05,2.433333e-02
1.645000e-05,-7.760000e-02
1.652000e-05,-1.526000e-01
1.659000e-05,-2.028667e-01
1.666000e-05,-2.234667e-01
1.673000e-05,-2.179667e-01
1.680000e-05,-1.866667e-01
1.687000e-05,-2.482000e-01
1.694000e-05,-3.872333e-01
1.701000e-05,-4.394333e-01
1.708000e-05,-4.553667e-01
1.715000e-05,-5.419000e-01
1.722000e-05,-5.416334e-01
1.729000e-05,-5.317333e-01
1.736000e-05,-5.531667e-01
1.743000e-05,-5.259666e-01
1.750000e-05,-4.954667e-01
1.757000e-05,-4.463000e-01
1.764000e-05,-3.421667e-01
1.771000e-05,-1.982000e-01
1.778000e-05,-3.663334e-02
1.785000e-05,1.466000e-01
1.792000e-05,3.216000e-01
