Time(s),CH1V
-7.000000e-06,-3.663333e-01
-6.930000e-06,-3.979333e-01
-6.860000e-06,-3.960000e-01
-6.790000e-06,-3.979333e-01
-6.720000e-06,-3.822667e-01
-6.650000e-06,-3.169000e-01
-6.580000e-06,-2.245667e-01
-6.510000e-06,-1.067000e-01
-6.440000e-06,1.883333e-02
-6.370000e-06,1.518333e-01
-6.300000e-06,2.760000e-01
-6.230000e-06,3.848000e-01
-6.160000e-06,4.661333e-01
-6.090000e-06,5.183333e-01
-6.020000e-06,5.359000e-01
-5.950000e-06,5.263000e-01
-5.880000e-06,4.826000e-01
-5.810000e-06,4.197000e-01
-5.740000e-06,3.364334e-01
-5.670000e-06,2.430333e-01
-5.600000e-06,1.485333e-01
-5.530000e-06,5.786667e-02
-5.460000e-06,-2.676667e-02
-5.390000e-06,-9.380000e-02
-5.320000e-06,-1.438000e-01
-5.250000e-06,-1.710000e-01
-5.180000e-06,-1.784000e-01
-5.110000e-06,-1.635667e-01
-5.040000e-06,-1.366667e-01
-4.970000e-06,-9.900000e-02
-4.900000e-06,-5.586667e-02
-4.830000e-06,-9.733333e-03
-4.760000e-06,3.093333e-02
-4.690000e-06,6.473333e-02
-4.620000e-06,9.136667e-02
-4.550000e-06,1.078667e-01
-4.480000e-06,1.062000e-01
-4.410000e-06,8.946667e-02
-4.340000e-06,5.950000e-02
-4.270000e-06,2.543333e-02
-4.200000e-06,-2.346667e-02
-4.130000e-06,-6.853333e-02
-4.060000e-06,-1.119333e-01
-3.990000e-06,-1.550667e-01
-3.920000e-06,-1.894000e-01
-3.850000e-06,-2.179667e-01
-3.780000e-06,-2.350000e-01
-3.710000e-06,-2.375000e-01
-3.640000e-06,-2.333667e-01
-3.570000e-06,-2.149667e-01
-3.500000e-06,-1.910667e-01
-3.430000e-06,-1.589000e-01
-3.360000e-06,-1.229333e-01
-3.290000e-06,-8.556667e-02
-3.220000e-06,-5.423333e-02
-3.150000e-06,-2.320000e-02
-3.080000e-06,2.900000e-03
-3.010000e-06,1.830000e-02
-2.940000e-06,2.873333e-02
-2.870000e-06,3.476667e-02
-2.800000e-06,3.423334e-02
-2.730000e-06,2.956667e-02
-2.660000e-06,1.720000e-02
-2.590000e-06,6.500000e-03
-2.520000e-06,-6.433333e-03
-2.450000e-06,-1.493333e-02
-2.380000e-06,-2.566667e-02
-2.310000e-06,-2.760000e-02
-2.240000e-06,-2.456667e-02
-2.170000e-06,-1.906667e-02
-2.100000e-06,-1.083333e-02
-2.030000e-06,5.666667e-03
-1.960000e-06,2.050000e-02
-1.890000e-06,4.440000e-02
-1.820000e-06,6.060000e-02
-1.750000e-06,7.930000e-02
-1.680000e-06,9.686667e-02
-1.610000e-06,1.078667e-01
-1.540000e-06,1.166667e-01
-1.470000e-06,1.191333e-01
-1.400000e-06,1.172000e-01
-1.330000e-06,1.158333e-01
-1.260000e-06,1.029333e-01
-1.190000e-06,9.496666e-02
-1.120000e-06,8.260000e-02
-1.050000e-06,7.133333e-02
-9.800000e-07,5.730000e-02
-9.100000e-07,4.193334e-02
-8.400000e-07,2.983333e-02
-7.700000e-07,1.913333e-02
-7.000000e-07,1.116667e-02
-6.300000e-07,8.400000e-03
-5.600000e-07,6.766667e-03
-4.900000e-07,2.633333e-03
-4.200000e-07,5.666667e-03
-3.500000e-07,3.466667e-03
-2.800000e-07,-4.000000e-04
-2.100000e-07,3.200000e-03
-1.400000e-07,7.000000e-04
-7.000000e-08,-2.566667e-03
1.220257e-20,-9.270000e-02
7.000000e-08,-1.853000e-01
1.400000e-07,-2.146667e-01
2.100000e-07,-2.649667e-01
2.800000e-07,-3.223667e-01
3.500000e-07,-3.306333e-01
4.200000e-07,-3.460000e-01
4.900000e-07,-3.495667e-01
5.600000e-07,-3.086333e-01
6.300000e-07,-2.449000e-01
7.000000e-07,-1.553333e-01
7.700000e-07,-5.150000e-02
8.400000e-07,5.730000e-02
9.100000e-07,1.669333e-01
9.800000e-07,2.650000e-01
1.050000e-06,3.526667e-01
1.120000e-06,4.128333e-01
1.190000e-06,4.436000e-01
1.260000e-06,4.502000e-01
1.330000e-06,4.290333e-01
1.400000e-06,3.848000e-01
1.470000e-06,3.251667e-01
1.540000e-06,2.512667e-01
1.610000e-06,1.718667e-01
1.680000e-06,9.083334e-02
1.750000e-06,1.583333e-02
1.820000e-06,-4.873333e-02
1.890000e-06,-9.763333e-02
1.960000e-06,-1.289667e-01
2.030000e-06,-1.471000e-01
2.100000e-06,-1.421333e-01
2.170000e-06,-1.276000e-01
2.240000e-06,-9.653334e-02
2.310000e-06,-5.093333e-02
2.380000e-06,-9.710000e-02
2.450000e-06,-2.174333e-01
2.520000e-06,-2.773333e-01
2.590000e-06,-2.809000e-01
2.660000e-06,-3.531334e-01
2.730000e-06,-3.682667e-01
2.800000e-06,-3.674333e-01
2.870000e-06,-3.817333e-01
2.940000e-06,-3.564333e-01
3.010000e-06,-2.872000e-01
3.080000e-06,-1.998333e-01
3.150000e-06,-7.760000e-02
3.220000e-06,4.963334e-02
3.290000e-06,1.773667e-01
3.360000e-06,2.963333e-01
3.430000e-06,3.966000e-01
3.500000e-06,4.699667e-01
3.570000e-06,5.175000e-01
3.640000e-06,5.315000e-01
3.710000e-06,5.150334e-01
3.780000e-06,4.738000e-01
3.850000e-06,4.048667e-01
3.920000e-06,3.238000e-01
3.990000e-06,2.273667e-01
4.060000e-06,1.304000e-01
4.130000e-06,3.973334e-02
4.200000e-06,-4.323334e-02
4.270000e-06,-1.064333e-01
4.340000e-06,-1.515000e-01
4.410000e-06,-1.770333e-01
4.480000e-06,-1.800667e-01
4.550000e-06,-1.668667e-01
4.620000e-06,-1.399667e-01
4.690000e-06,-1.031333e-01
4.760000e-06,-6.633333e-02
4.830000e-06,-1.907667e-01
4.900000e-06,-2.888667e-01
4.970000e-06,-2.905000e-01
5.040000e-06,-3.460000e-01
5.110000e-06,-4.037000e-01
5.180000e-06,-4.031667e-01
5.250000e-06,-4.042667e-01
5.320000e-06,-4.064333e-01
5.390000e-06,-3.465667e-01
5.460000e-06,-2.663333e-01
5.530000e-06,-1.553333e-01
5.600000e-06,-3.006667e-02
5.670000e-06,1.048333e-01
5.740000e-06,2.265667e-01
5.810000e-06,3.403000e-01
5.880000e-06,4.287667e-01
5.950000e-06,4.955333e-01
6.020000e-06,5.249333e-01
6.090000e-06,5.271000e-01
6.160000e-06,4.974333e-01
6.230000e-06,4.372667e-01
6.300000e-06,3.628334e-01
6.370000e-06,2.746333e-01
6.440000e-06,1.749000e-01
6.510000e-06,8.370000e-02
6.580000e-06,-2.566667e-03
6.650000e-06,-7.510000e-02
6.720000e-06,-1.267667e-01
6.790000e-06,-1.600000e-01
6.860000e-06,-1.734667e-01
6.930000e-06,-1.696333e-01
7.000000e-06,-1.443333e-01
7.070000e-06,-1.122000e-01
7.140000e-06,-6.523333e-02
7.210000e-06,-1.105667e-01
7.280000e-06,-2.394000e-01
7.350000e-06,-2.820000e-01
7.420000e-06,-2.971000e-01
7.490000e-06,-3.778667e-01
7.560000e-06,-3.910667e-01
7.630000e-06,-3.908000e-01
7.700000e-06,-3.987667e-01
7.770000e-06,-3.677000e-01
7.840000e-06,-2.982000e-01
7.910000e-06,-1.973667e-01
7.980000e-06,-7.786667e-02
8.050000e-06,5.290000e-02
8.120000e-06,1.793000e-01
8.190000e-06,3.001667e-01
8.260000e-06,4.062333e-01
8.330000e-06,4.796000e-01
8.400000e-06,5.287667e-01
8.470000e-06,5.419667e-01
8.540000e-06,5.183333e-01
8.610000e-06,4.713333e-01
8.680000e-06,4.002000e-01
8.750000e-06,3.180333e-01
8.820000e-06,2.194000e-01
8.890000e-06,1.257333e-01
8.960000e-06,3.423334e-02
9.030000e-06,-4.600000e-02
9.100000e-06,-1.086333e-01
9.170000e-06,-1.550667e-01
9.240000e-06,-1.817000e-01
9.310000e-06,-1.814333e-01
9.380000e-06,-1.624667e-01
9.450000e-06,-1.355667e-01
9.520000e-06,-9.323333e-02
9.590000e-06,-6.770000e-02
9.660000e-06,-1.938000e-01
9.730000e-06,-2.924334e-01
9.800000e-06,-2.888667e-01
9.870000e-06,-3.578333e-01
9.940000e-06,-4.031667e-01
1.001000e-05,-3.861333e-01
1.008000e-05,-4.004000e-01
1.015000e-05,-3.971000e-01
1.022000e-05,-3.350333e-01
1.029000e-05,-2.559000e-01
1.036000e-05,-1.399667e-01
1.043000e-05,-1.493333e-02
1.050000e-05,1.199667e-01
1.057000e-05,2.463333e-01
1.064000e-05,3.556667e-01
1.071000e-05,4.447000e-01
1.078000e-05,5.002000e-01
1.085000e-05,5.290334e-01
1.092000e-05,5.282000e-01
1.099000e-05,4.916667e-01
1.106000e-05,4.337000e-01
1.113000e-05,3.559667e-01
1.120000e-05,2.677667e-01
1.127000e-05,1.699667e-01
1.134000e-05,7.930000e-02
1.141000e-05,-7.533333e-03
1.148000e-05,-8.060000e-02
1.155000e-05,-1.317000e-01
1.162000e-05,-1.646667e-01
1.169000e-05,-1.751333e-01
1.176000e-05,-1.679667e-01
1.183000e-05,-1.457333e-01
1.190000e-05,-1.124667e-01
1.197000e-05,-5.780000e-02
1.204000e-05,-1.300667e-01
1.211000e-05,-2.548000e-01
1.218000e-05,-2.971000e-01
1.225000e-05,-3.081000e-01
1.232000e-05,-3.861333e-01
1.239000e-05,-3.913333e-01
1.246000e-05,-3.927000e-01
1.253000e-05,-4.072667e-01
1.260000e-05,-3.647000e-01
1.267000e-05,-2.949000e-01
1.274000e-05,-1.910667e-01
1.281000e-05,-7.073333e-02
1.288000e-05,6.116667e-02
1.295000e-05,1.892000e-01
1.302000e-05,3.073334e-01
1.309000e-05,4.084333e-01
1.316000e-05,4.793000e-01
1.323000e-05,5.221667e-01
1.330000e-05,5.326000e-01
1.337000e-05,5.150334e-01
1.344000e-05,4.710667e-01
1.351000e-05,3.958000e-01
1.358000e-05,3.122667e-01
1.365000e-05,2.153000e-01
1.372000e-05,1.194000e-01
1.379000e-05,3.230000e-02
1.386000e-05,-4.873333e-02
1.393000e-05,-1.108333e-01
1.400000e-05,-1.515000e-01
1.407000e-05,-1.737333e-01
1.414000e-05,-1.756667e-01
1.421000e-05,-1.630333e-01
1.428000e-05,-1.344667e-01
1.435000e-05,-9.573334e-02
1.442000e-05,-7.566667e-02
1.449000e-05,-2.037000e-01
1.456000e-05,-2.894000e-01
1.463000e-05,-2.899667e-01
1.470000e-05,-3.608333e-01
1.477000e-05,-4.026000e-01
1.484000e-05,-3.877667e-01
1.491000e-05,-4.042667e-01
1.498000e-05,-3.916000e-01
1.505000e-05,-3.289667e-01
1.512000e-05,-2.416000e-01
1.519000e-05,-1.278667e-01
1.526000e-05,-5.866667e-03
1.533000e-05,1.282000e-01
1.540000e-05,2.507333e-01
1.547000e-05,3.600667e-01
1.554000e-05,4.452333e-01
1.561000e-05,5.059667e-01
1.568000e-05,5.342667e-01
1.575000e-05,5.282000e-01
1.582000e-05,4.908667e-01
1.589000e-05,4.315000e-01
1.596000e-05,3.502000e-01
1.603000e-05,2.598000e-01
1.610000e-05,1.639000e-01
1.617000e-05,7.270000e-02
1.624000e-05,-9.166666e-03
1.631000e-05,-8.473334e-02
1.638000e-05,-1.350000e-01
1.645000e-05,-1.674333e-01
1.652000e-05,-1.822667e-01
1.659000e-05,-1.729333e-01
1.666000e-05,-1.482000e-01
1.673000e-05,-1.108333e-01
1.680000e-05,-5.696667e-02
1.687000e-05,-1.432333e-01
1.694000e-05,-2.603000e-01
1.701000e-05,-2.828000e-01
1.708000e-05,-3.158000e-01
1.715000e-05,-3.924333e-01
1.722000e-05,-3.894000e-01
1.729000e-05,-3.891333e-01
1.736000e-05,-3.976667e-01
1.743000e-05,-3.603000e-01
1.750000e-05,-2.872000e-01
1.757000e-05,-1.847333e-01
1.764000e-05,-6.963333e-02
1.771000e-05,6.610000e-02
1.778000e-05,1.952333e-01
1.785000e-05,3.133667e-01
1.792000e-05,4.089667e-01
1.799000e-05,4.837000e-01
1.806000e-05,5.265667e-01
1.813000e-05,5.353667e-01
1.820000e-05,5.106333e-01
1.827000e-05,4.636667e-01
1.834000e-05,3.930333e-01
1.841000e-05,3.062333e-01
1.848000e-05,2.122667e-01
1.855000e-05,1.169333e-01
1.862000e-05,2.323333e-02
1.869000e-05,-5.533333e-02
1.876000e-05,-1.168667e-01
1.883000e-05,-1.583667e-01
1.890000e-05,-1.817000e-01
1.897000e-05,-1.767667e-01
1.904000e-05,-1.613667e-01
1.911000e-05,-1.295000e-01
1.918000e-05,-8.006667e-02
1.925000e-05,-8.143333e-02
1.932000e-05,-2.092000e-01
1.939000e-05,-2.894000e-01
1.946000e-05,-2.899667e-01
1.953000e-05,-3.611333e-01
1.960000e-05,-3.976667e-01
1.967000e-05,-3.875000e-01
1.974000e-05,-4.009667e-01
1.981000e-05,-3.905000e-01
1.988000e-05,-3.251333e-01
1.995000e-05,-2.372000e-01
2.002000e-05,-1.245667e-01
2.009000e-05,9.233333e-03
2.016000e-05,1.381000e-01
2.023000e-05,2.600667e-01
2.030000e-05,3.705000e-01
2.037000e-05,4.507333e-01
2.044000e-05,5.117334e-01
2.051000e-05,5.356333e-01
2.058000e-05,5.254667e-01
2.065000e-05,4.900333e-01
2.072000e-05,4.287667e-01
2.079000e-05,3.493667e-01
2.086000e-05,2.562333e-01
2.093000e-05,1.562333e-01
2.100000e-05,6.116667e-02
2.107000e-05,-2.070000e-02
2.114000e-05,-8.940000e-02
2.121000e-05,-1.410667e-01
2.128000e-05,-1.696333e-01
2.135000e-05,-1.778667e-01
2.142000e-05,-1.685333e-01
2.149000e-05,-1.446333e-01
2.156000e-05,-1.042333e-01
2.163000e-05,-5.616667e-02
2.170000e-05,-1.520333e-01
2.177000e-05,-2.586333e-01
2.184000e-05,-2.861000e-01
2.191000e-05,-3.185333e-01
2.198000e-05,-3.943667e-01
2.205000e-05,-3.946333e-01
2.212000e-05,-3.965667e-01
2.219000e-05,-4.059000e-01
2.226000e-05,-3.592000e-01
2.233000e-05,-2.820000e-01
2.240000e-05,-1.745667e-01
2.247000e-05,-5.476667e-02
2.254000e-05,7.490000e-02
2.261000e-05,2.054000e-01
2.268000e-05,3.232667e-01
2.275000e-05,4.180333e-01
2.282000e-05,4.897667e-01
2.289000e-05,5.304000e-01
2.296000e-05,5.392000e-01
2.303000e-05,5.128334e-01
2.310000e-05,4.589667e-01
2.317000e-05,3.864333e-01
2.324000e-05,2.974333e-01
2.331000e-05,1.996333e-01
2.338000e-05,1.023667e-01
2.345000e-05,1.556667e-02
2.352000e-05,-6.026667e-02
2.359000e-05,-1.182333e-01
2.366000e-05,-1.581000e-01
2.373000e-05,-1.806000e-01
2.380000e-05,-1.800667e-01
2.387000e-05,-1.583667e-01
2.394000e-05,-1.262000e-01
2.401000e-05,-6.660000e-02
2.408000e-05,-8.830000e-02
2.415000e-05,-2.259333e-01
2.422000e-05,-2.910667e-01
2.429000e-05,-2.880333e-01
2.436000e-05,-3.663333e-01
2.443000e-05,-4.012333e-01
2.450000e-05,-3.943667e-01
2.457000e-05,-4.034334e-01
2.464000e-05,-3.883000e-01
2.471000e-05,-3.185333e-01
2.478000e-05,-2.262333e-01
2.485000e-05,-1.144000e-01
2.492000e-05,1.390000e-02
2.499000e-05,1.457667e-01
2.506000e-05,2.710667e-01
2.513000e-05,3.763000e-01
2.520000e-05,4.617333e-01
2.527000e-05,5.172333e-01
2.534000e-05,5.359000e-01
2.541000e-05,5.252000e-01
2.548000e-05,4.831667e-01
2.555000e-05,4.210667e-01
2.562000e-05,3.414000e-01
2.569000e-05,2.463333e-01
2.576000e-05,1.518333e-01
2.583000e-05,5.950000e-02
2.590000e-05,-2.620000e-02
2.597000e-05,-9.683333e-02
2.604000e-05,-1.416000e-01
2.611000e-05,-1.682667e-01
2.618000e-05,-1.762333e-01
2.625000e-05,-1.644000e-01
2.632000e-05,-1.355667e-01
2.639000e-05,-9.983333e-02
2.646000e-05,-5.093333e-02
2.653000e-05,-1.600000e-01
2.660000e-05,-2.723667e-01
2.667000e-05,-2.916000e-01
2.674000e-05,-3.284333e-01
2.681000e-05,-3.941000e-01
2.688000e-05,-3.888667e-01
2.695000e-05,-3.943667e-01
2.702000e-05,-4.042667e-01
2.709000e-05,-3.528667e-01
2.716000e-05,-2.767667e-01
2.723000e-05,-1.671667e-01
2.730000e-05,-4.433334e-02
2.737000e-05,8.946667e-02
2.744000e-05,2.188667e-01
2.751000e-05,3.334333e-01
2.758000e-05,4.254667e-01
2.765000e-05,4.933333e-01
2.772000e-05,5.298667e-01
2.779000e-05,5.326000e-01
2.786000e-05,5.079000e-01
2.793000e-05,4.559667e-01
2.800000e-05,3.837000e-01
2.807000e-05,2.933000e-01
2.814000e-05,1.985333e-01
2.821000e-05,1.032000e-01
2.828000e-05,1.226667e-02
2.835000e-05,-6.193333e-02
2.842000e-05,-1.174333e-01
2.849000e-05,-1.572667e-01
2.856000e-05,-1.740333e-01
2.863000e-05,-1.715333e-01
2.870000e-05,-1.542333e-01
2.877000e-05,-1.218333e-01
2.884000e-05,-8.390000e-02
2.891000e-05,-9.763333e-02
2.898000e-05,-2.212667e-01
2.905000e-05,-2.880333e-01
2.912000e-05,-2.938000e-01
2.919000e-05,-3.737667e-01
2.926000e-05,-3.910667e-01
2.933000e-05,-3.924333e-01
2.940000e-05,-3.993000e-01
2.947000e-05,-3.820000e-01
2.954000e-05,-3.119333e-01
