Time(s),CH1V
-7.500000e-06,-1.586667e-02
-7.425000e-06,-1.026667e-02
-7.350000e-06,-1.813333e-02
-7.275000e-06,-6.266667e-03
-7.200000e-06,-1.133333e-02
-7.125000e-06,-4.000000e-03
-7.050000e-06,-1.586667e-02
-6.975000e-06,-8.533333e-03
-6.900000e-06,-1.133333e-02
-6.825000e-06,-2.040000e-02
-6.750000e-06,-2.266667e-03
-6.675000e-06,-1.866667e-02
-6.600000e-06,6.800000e-03
-6.525000e-06,-1.186667e-02
-6.450000e-06,-1.200000e-03
-6.375000e-06,-9.066666e-03
-6.300000e-06,-2.266667e-03
-6.225000e-06,-8.000000e-03
-6.150000e-06,-1.693333e-02
-6.075000e-06,8.400000e-03
-6.000000e-06,-2.266667e-02
-5.925000e-06,-1.200000e-03
-5.850000e-06,-4.533333e-03
-5.775000e-06,-6.666667e-04
-5.700000e-06,-6.800000e-03
-5.625000e-06,-8.000000e-03
-5.550000e-06,4.533333e-03
-5.475000e-06,0.000000e+00
-5.400000e-06,0.000000e+00
-5.325000e-06,-1.133333e-02
-5.250000e-06,-1.200000e-03
-5.175000e-06,-1.533333e-02
-5.100000e-06,-4.533333e-03
-5.025000e-06,-4.000000e-03
-4.950000e-06,-4.533333e-03
-4.875000e-06,-2.933333e-03
-4.800000e-06,-4.533333e-03
-4.725000e-06,1.013333e-02
-4.650000e-06,-1.693333e-02
-4.575000e-06,-9.600000e-03
-4.500000e-06,6.800000e-03
-4.425000e-06,4.533333e-03
-4.350000e-06,-3.466667e-03
-4.275000e-06,-6.800000e-03
-4.200000e-06,1.346667e-02
-4.125000e-06,-1.640000e-02
-4.050000e-06,0.000000e+00
-3.975000e-06,-2.933333e-03
-3.900000e-06,-6.800000e-03
-3.825000e-06,-1.133333e-02
-3.750000e-06,-1.586667e-02
-3.675000e-06,-1.733333e-03
-3.600000e-06,-9.066666e-03
-3.525000e-06,-6.800000e-03
-3.450000e-06,-1.200000e-03
-3.375000e-06,-6.666667e-04
-3.300000e-06,-1.586667e-02
-3.225000e-06,-6.266667e-03
-3.150000e-06,0.000000e+00
-3.075000e-06,-1.533333e-02
-3.000000e-06,6.800000e-03
-2.925000e-06,-1.760000e-02
-2.850000e-06,2.266667e-03
-2.775000e-06,-6.266667e-03
-2.700000e-06,-1.133333e-02
-2.625000e-06,-1.733333e-03
-2.550000e-06,-8.000000e-03
-2.475000e-06,-5.733334e-03
-2.400000e-06,-6.800000e-03
-2.325000e-06,-1.200000e-03
-2.250000e-06,-1.586667e-02
-2.175000e-06,-1.360000e-02
-2.100000e-06,-4.533333e-03
-2.025000e-06,-5.733334e-03
-1.950000e-06,-1.133333e-02
-1.875000e-06,-8.533333e-03
-1.800000e-06,-1.360000e-02
-1.725000e-06,-1.026667e-02
-1.650000e-06,-4.533333e-03
-1.575000e-06,-1.133333e-02
-1.500000e-06,0.000000e+00
-1.425000e-06,-6.800000e-03
-1.350000e-06,-1.253333e-02
-1.275000e-06,2.266667e-03
-1.200000e-06,-1.813333e-02
-1.125000e-06,-2.093333e-02
-1.050000e-06,-2.266667e-02
-9.750000e-07,5.333333e-04
-9.000000e-07,-1.360000e-02
-8.250000e-07,-1.586667e-02
-7.500000e-07,-3.466667e-03
-6.750000e-07,-6.800000e-03
-6.000000e-07,-6.800000e-03
-5.250000e-07,-9.600000e-03
-4.500000e-07,-8.000000e-03
-3.750000e-07,-7.333334e-03
-3.000000e-07,-1.133333e-02
-2.250000e-07,-4.000000e-03
-1.500000e-07,2.266667e-03
-7.500000e-08,9.146667e-02
9.396772e-21,2.260000e-01
7.500000e-08,4.068000e-01
1.500000e-07,5.458667e-01
2.250000e-07,7.188000e-01
3.000000e-07,8.589333e-01
3.750000e-07,1.001867e+00
4.500000e-07,1.086133e+00
5.250000e-07,1.161200e+00
6.000000e-07,1.231867e+00
6.750000e-07,1.259600e+00
7.500000e-07,1.264667e+00
8.250000e-07,1.250533e+00
9.000000e-07,1.211600e+00
9.750000e-07,1.163467e+00
1.050000e-06,1.099600e+00
