Time(s),CH1V
-6.000000e-06,-1.133333e-02
-5.940000e-06,-1.586667e-02
-5.880000e-06,-2.040000e-02
-5.820000e-06,-1.133333e-02
-5.760000e-06,-4.533333e-03
-5.700000e-06,-1.586667e-02
-5.640000e-06,-1.586667e-02
-5.580000e-06,-6.800000e-03
-5.520000e-06,2.266667e-03
-5.460000e-06,-1.133333e-02
-5.400000e-06,-1.586667e-02
-5.340000e-06,-2.266667e-02
-5.280000e-06,0.000000e+00
-5.220000e-06,-6.800000e-03
-5.160000e-06,-1.133333e-02
-5.100000e-06,-1.586667e-02
-5.040000e-06,-9.066666e-03
-4.980000e-06,-1.586667e-02
-4.920000e-06,-9.066666e-03
-4.860000e-06,-1.813333e-02
-4.800000e-06,0.000000e+00
-4.740000e-06,-2.266667e-03
-4.680000e-06,-6.800000e-03
-4.620000e-06,-4.533333e-03
-4.560000e-06,-4.533333e-03
-4.500000e-06,0.000000e+00
-4.440000e-06,-4.533333e-03
-4.380000e-06,-6.800000e-03
-4.320000e-06,-4.533333e-03
-4.260000e-06,-1.133333e-02
-4.200000e-06,-1.360000e-02
-4.140000e-06,0.000000e+00
-4.080000e-06,-6.800000e-03
-4.020000e-06,-4.533333e-03
-3.960000e-06,-1.133333e-02
-3.900000e-06,-1.586667e-02
-3.840000e-06,2.266667e-03
-3.780000e-06,2.266667e-03
-3.720000e-06,-1.360000e-02
-3.660000e-06,-4.533333e-03
-3.600000e-06,-2.266667e-03
-3.540000e-06,4.533333e-03
-3.480000e-06,-1.586667e-02
-3.420000e-06,-1.133333e-02
-3.360000e-06,4.533333e-03
-3.300000e-06,-1.813333e-02
-3.240000e-06,-1.586667e-02
-3.180000e-06,-2.266667e-03
-3.120000e-06,0.000000e+00
-3.060000e-06,0.000000e+00
-3.000000e-06,-1.586667e-02
-2.940000e-06,-1.360000e-02
-2.880000e-06,1.346667e-02
-2.820000e-06,-1.813333e-02
-2.760000e-06,-6.800000e-03
-2.700000e-06,-6.800000e-03
-2.640000e-06,-4.533333e-03
-2.580000e-06,2.266667e-03
-2.520000e-06,-9.066666e-03
-2.460000e-06,-2.720000e-02
-2.400000e-06,2.266667e-03
-2.340000e-06,-1.813333e-02
-2.280000e-06,-1.813333e-02
-2.220000e-06,-6.800000e-03
-2.160000e-06,-4.533333e-03
-2.100000e-06,-1.133333e-02
-2.040000e-06,-1.133333e-02
-1.980000e-06,-1.813333e-02
-1.920000e-06,-1.586667e-02
-1.860000e-06,-4.533333e-03
-1.800000e-06,-2.040000e-02
-1.740000e-06,-1.133333e-02
-1.680000e-06,-4.533333e-03
-1.620000e-06,-4.533333e-03
-1.560000e-06,-1.133333e-02
-1.500000e-06,-1.813333e-02
-1.440000e-06,6.800000e-03
-1.380000e-06,-1.133333e-02
-1.320000e-06,-1.133333e-02
-1.260000e-06,-2.266667e-03
-1.200000e-06,-1.133333e-02
-1.140000e-06,-4.533333e-03
-1.080000e-06,-9.066666e-03
-1.020000e-06,-1.586667e-02
-9.600000e-07,4.533333e-03
-9.000000e-07,-1.133333e-02
-8.400000e-07,-1.586667e-02
-7.800000e-07,-4.533333e-03
-7.200000e-07,-2.040000e-02
-6.600000e-07,-6.800000e-03
-6.000000e-07,-2.040000e-02
-5.400000e-07,-1.813333e-02
-4.800000e-07,6.800000e-03
-4.200000e-07,-9.066666e-03
-3.600000e-07,-2.266667e-02
-3.000000e-07,-4.533333e-03
-2.400000e-07,-1.586667e-02
-1.800000e-07,-1.133333e-02
-1.200000e-07,8.933334e-03
-6.000000e-08,8.586667e-02
6.352747e-21,2.124000e-01
6.000000e-08,3.390667e-01
1.200000e-07,4.724000e-01
1.800000e-07,6.034667e-01
2.400000e-07,7.210667e-01
3.000000e-07,8.317333e-01
3.600000e-07,9.425333e-01
4.200000e-07,1.028400e+00
4.800000e-07,1.121067e+00
5.400000e-07,1.168533e+00
6.000000e-07,1.207067e+00
6.600000e-07,1.243200e+00
7.200000e-07,1.254533e+00
7.800000e-07,1.243200e+00
8.400000e-07,1.193467e+00
9.000000e-07,1.098533e+00
9.600000e-07,9.493334e-01
1.020000e-06,7.074667e-01
1.080000e-06,4.294667e-01
1.140000e-06,1.106667e-01
1.200000e-06,-2.373333e-01
1.260000e-06,-5.968000e-01
1.320000e-06,-9.381334e-01
1.380000e-06,-1.254533e+00
1.440000e-06,-1.489600e+00
1.500000e-06,-1.715733e+00
1.560000e-06,-1.826400e+00
1.620000e-06,-1.867200e+00
1.680000e-06,-1.846800e+00
1.740000e-06,-1.740533e+00
1.800000e-06,-1.593600e+00
1.860000e-06,-1.406000e+00
1.920000e-06,-1.166400e+00
1.980000e-06,-9.290667e-01
2.040000e-06,-7.121333e-01
2.100000e-06,-4.973333e-01
2.160000e-06,-3.120000e-01
2.220000e-06,-1.741333e-01
2.280000e-06,-9.493333e-02
2.340000e-06,-6.106667e-02
2.400000e-06,-5.880000e-02
2.460000e-06,-1.401333e-01
2.520000e-06,-2.350667e-01
2.580000e-06,-3.572000e-01
2.640000e-06,-4.950667e-01
2.700000e-06,-6.488000e-01
2.760000e-06,-7.844000e-01
2.820000e-06,-8.906667e-01
2.880000e-06,-9.494667e-01
2.940000e-06,-1.008133e+00
