Time(s),CH1V
-6.000000e-06,-1.093333e-02
-5.940000e-06,-2.133333e-03
-5.880000e-06,1.520000e-02
-5.820000e-06,-6.400000e-03
-5.760000e-06,-6.400000e-03
-5.700000e-06,-1.946667e-02
-5.640000e-06,2.400000e-02
-5.580000e-06,-2.133333e-03
-5.520000e-06,-1.520000e-02
-5.460000e-06,-6.400000e-03
-5.400000e-06,1.946667e-02
-5.340000e-06,2.133333e-03
-5.280000e-06,1.093333e-02
-5.220000e-06,-1.520000e-02
-5.160000e-06,-2.133333e-03
-5.100000e-06,-1.946667e-02
-5.040000e-06,-1.520000e-02
-4.980000e-06,-2.133333e-03
-4.920000e-06,-2.133333e-03
-4.860000e-06,-6.400000e-03
-4.800000e-06,-1.093333e-02
-4.740000e-06,-3.680000e-02
-4.680000e-06,-2.133333e-03
-4.620000e-06,-4.560000e-02
-4.560000e-06,-2.373333e-02
-4.500000e-06,-1.093333e-02
-4.440000e-06,1.520000e-02
-4.380000e-06,-2.133333e-03
-4.320000e-06,-1.093333e-02
-4.260000e-06,-3.680000e-02
-4.200000e-06,2.133333e-03
-4.140000e-06,-1.520000e-02
-4.080000e-06,-4.560000e-02
-4.020000e-06,-1.946667e-02
-3.960000e-06,-6.400000e-03
-3.900000e-06,-2.373333e-02
-3.840000e-06,-1.946667e-02
-3.780000e-06,-3.253333e-02
-3.720000e-06,1.520000e-02
-3.660000e-06,-3.680000e-02
-3.600000e-06,-2.826667e-02
-3.540000e-06,-2.373333e-02
-3.480000e-06,-3.253333e-02
-3.420000e-06,-2.373333e-02
-3.360000e-06,-1.946667e-02
-3.300000e-06,-4.106667e-02
-3.240000e-06,-1.946667e-02
-3.180000e-06,-2.373333e-02
-3.120000e-06,-4.560000e-02
-3.060000e-06,-3.253333e-02
-3.000000e-06,-2.133333e-03
-2.940000e-06,-2.373333e-02
-2.880000e-06,-1.946667e-02
-2.820000e-06,-2.826667e-02
-2.760000e-06,-6.400000e-03
-2.700000e-06,-2.826667e-02
-2.640000e-06,-2.373333e-02
-2.580000e-06,-1.946667e-02
-2.520000e-06,-2.133333e-03
-2.460000e-06,-2.133333e-03
-2.400000e-06,-1.946667e-02
-2.340000e-06,-4.560000e-02
-2.280000e-06,-2.133333e-03
-2.220000e-06,-3.680000e-02
-2.160000e-06,-3.253333e-02
-2.100000e-06,-6.400000e-03
-2.040000e-06,-1.093333e-02
-1.980000e-06,-2.133333e-03
-1.920000e-06,-1.946667e-02
-1.860000e-06,-1.093333e-02
-1.800000e-06,1.520000e-02
-1.740000e-06,-2.373333e-02
-1.680000e-06,-6.400000e-03
-1.620000e-06,-2.133333e-03
-1.560000e-06,6.400000e-03
-1.500000e-06,-6.400000e-03
-1.440000e-06,-1.520000e-02
-1.380000e-06,-6.400000e-03
-1.320000e-06,2.826667e-02
-1.260000e-06,-2.826667e-02
-1.200000e-06,-6.400000e-03
-1.140000e-06,-6.400000e-03
-1.080000e-06,1.093333e-02
-1.020000e-06,-2.826667e-02
-9.600000e-07,2.133333e-03
-9.000000e-07,-1.520000e-02
-8.400000e-07,1.520000e-02
-7.800000e-07,-1.520000e-02
-7.200000e-07,-1.946667e-02
-6.600000e-07,-2.133333e-03
-6.000000e-07,-1.093333e-02
-5.400000e-07,-1.520000e-02
-4.800000e-07,-1.520000e-02
-4.200000e-07,-2.133333e-03
-3.600000e-07,2.133333e-03
-3.000000e-07,-1.946667e-02
-2.400000e-07,-1.946667e-02
-1.800000e-07,4.133333e-02
-1.200000e-07,1.237333e-01
-6.000000e-08,2.450667e-01
6.352747e-21,3.536000e-01
6.000000e-08,4.749333e-01
1.200000e-07,6.442667e-01
1.800000e-07,7.440000e-01
2.400000e-07,8.480000e-01
3.000000e-07,9.738667e-01
3.600000e-07,1.064800e+00
4.200000e-07,1.112533e+00
4.800000e-07,1.164533e+00
5.400000e-07,1.208000e+00
6.000000e-07,1.260000e+00
6.600000e-07,1.242667e+00
7.200000e-07,1.234133e+00
7.800000e-07,1.234133e+00
8.400000e-07,1.203733e+00
9.000000e-07,1.151733e+00
9.600000e-07,1.090933e+00
1.020000e-06,1.025867e+00
1.080000e-06,9.912000e-01
1.140000e-06,8.957334e-01
1.200000e-06,8.176000e-01
1.260000e-06,7.698667e-01
1.320000e-06,6.874667e-01
1.380000e-06,5.746667e-01
1.440000e-06,5.096000e-01
1.500000e-06,3.968000e-01
1.560000e-06,3.840000e-01
1.620000e-06,2.840000e-01
1.680000e-06,2.061333e-01
1.740000e-06,1.669333e-01
1.800000e-06,1.106667e-01
1.860000e-06,6.293333e-02
1.920000e-06,1.520000e-02
1.980000e-06,-4.560000e-02
2.040000e-06,-4.560000e-02
2.100000e-06,-9.333333e-02
2.160000e-06,-1.192000e-01
2.220000e-06,-1.453333e-01
2.280000e-06,-1.842667e-01
2.340000e-06,-1.757333e-01
2.400000e-06,-1.885333e-01
2.460000e-06,-2.234667e-01
2.520000e-06,-1.973333e-01
2.580000e-06,-2.104000e-01
2.640000e-06,-2.234667e-01
2.700000e-06,-2.362667e-01
2.760000e-06,-2.016000e-01
2.820000e-06,-2.061333e-01
2.880000e-06,-2.189333e-01
2.940000e-06,-2.189333e-01
3.000000e-06,-1.757333e-01
3.060000e-06,-1.973333e-01
3.120000e-06,-1.800000e-01
3.180000e-06,-1.669333e-01
3.240000e-06,-1.149333e-01
3.300000e-06,-1.192000e-01
3.360000e-06,-1.106667e-01
3.420000e-06,-1.018667e-01
3.480000e-06,-3.680000e-02
3.540000e-06,-7.146667e-02
3.600000e-06,-2.826667e-02
3.660000e-06,-6.400000e-03
3.720000e-06,6.400000e-03
3.780000e-06,1.520000e-02
3.840000e-06,1.520000e-02
3.900000e-06,6.400000e-03
3.960000e-06,8.026667e-02
4.020000e-06,2.826667e-02
4.080000e-06,5.866667e-02
4.140000e-06,6.293333e-02
4.200000e-06,7.146667e-02
4.260000e-06,6.720000e-02
4.320000e-06,8.026667e-02
4.380000e-06,7.146667e-02
4.440000e-06,8.906667e-02
4.500000e-06,5.866667e-02
4.560000e-06,-2.373333e-02
4.620000e-06,-2.536000e-01
4.680000e-06,-6.485333e-01
4.740000e-06,-1.151467e+00
4.800000e-06,-1.815200e+00
4.860000e-06,-2.565600e+00
4.920000e-06,-3.294400e+00
4.980000e-06,-4.127200e+00
5.040000e-06,-4.890400e+00
5.100000e-06,-5.515200e+00
5.160000e-06,-6.040000e+00
5.220000e-06,-6.352267e+00
5.280000e-06,-6.482400e+00
5.340000e-06,-6.443467e+00
5.400000e-06,-6.126667e+00
5.460000e-06,-5.714667e+00
5.520000e-06,-5.133333e+00
5.580000e-06,-4.430667e+00
5.640000e-06,-3.658667e+00
5.700000e-06,-2.882133e+00
5.760000e-06,-2.105867e+00
5.820000e-06,-1.407467e+00
5.880000e-06,-7.525333e-01
5.940000e-06,-2.885333e-01
6.000000e-06,7.146667e-02
6.060000e-06,3.016000e-01
6.120000e-06,3.925333e-01
6.180000e-06,3.405333e-01
6.240000e-06,2.016000e-01
6.300000e-06,-2.826667e-02
6.360000e-06,-2.536000e-01
6.420000e-06,-5.184000e-01
6.480000e-06,-7.568000e-01
6.540000e-06,-9.261333e-01
6.600000e-06,-1.034400e+00
6.660000e-06,-1.060533e+00
6.720000e-06,-9.650667e-01
6.780000e-06,-7.656000e-01
6.840000e-06,-4.533333e-01
6.900000e-06,-1.061333e-01
6.960000e-06,3.317333e-01
7.020000e-06,8.176000e-01
7.080000e-06,1.312000e+00
7.140000e-06,1.802133e+00
7.200000e-06,2.236000e+00
7.260000e-06,2.626400e+00
7.320000e-06,3.003733e+00
7.380000e-06,3.194667e+00
7.440000e-06,3.333333e+00
7.500000e-06,3.424533e+00
7.560000e-06,3.372533e+00
7.620000e-06,3.285600e+00
7.680000e-06,3.081867e+00
7.740000e-06,2.895200e+00
7.800000e-06,2.682667e+00
7.860000e-06,2.418133e+00
7.920000e-06,2.201333e+00
7.980000e-06,2.032267e+00
8.040000e-06,1.876000e+00
8.100000e-06,1.776267e+00
8.160000e-06,1.772000e+00
8.220000e-06,1.728533e+00
8.280000e-06,1.793600e+00
8.340000e-06,1.793600e+00
8.400000e-06,1.819467e+00
8.460000e-06,1.862933e+00
8.520000e-06,1.889067e+00
8.580000e-06,1.902133e+00
8.640000e-06,1.880267e+00
8.700000e-06,1.854400e+00
8.760000e-06,1.880267e+00
8.820000e-06,1.789333e+00
8.880000e-06,1.741600e+00
8.940000e-06,1.689600e+00
9.000000e-06,1.598400e+00
9.060000e-06,1.516000e+00
9.120000e-06,1.420533e+00
9.180000e-06,1.286133e+00
9.240000e-06,1.216800e+00
9.300000e-06,1.099467e+00
9.360000e-06,9.693334e-01
9.420000e-06,8.610667e-01
9.480000e-06,7.656000e-01
9.540000e-06,6.570667e-01
9.600000e-06,5.184000e-01
9.660000e-06,3.882667e-01
9.720000e-06,3.274667e-01
9.780000e-06,2.189333e-01
9.840000e-06,1.192000e-01
9.900000e-06,5.413333e-02
9.960000e-06,-4.560000e-02
1.002000e-05,-1.106667e-01
1.008000e-05,-1.800000e-01
1.014000e-05,-2.450667e-01
1.020000e-05,-2.624000e-01
1.026000e-05,-3.274667e-01
1.032000e-05,-3.709333e-01
1.038000e-05,-3.794667e-01
1.044000e-05,-4.056000e-01
1.050000e-05,-4.360000e-01
1.056000e-05,-4.488000e-01
1.062000e-05,-4.837333e-01
1.068000e-05,-4.706667e-01
1.074000e-05,-5.138667e-01
1.080000e-05,-5.789334e-01
1.086000e-05,-6.050667e-01
1.092000e-05,-6.701334e-01
