Time(s),CH1V
-5.000000e-05,-5.733334e-03
-4.990000e-05,-1.253333e-02
-4.980000e-05,-1.026667e-02
-4.970000e-05,-5.733334e-03
-4.960000e-05,-8.000000e-03
-4.950000e-05,5.466667e-03
-4.940000e-05,1.226667e-02
-4.930000e-05,-1.200000e-03
-4.920000e-05,-1.200000e-03
-4.910000e-05,-1.480000e-02
-4.900000e-05,-5.733334e-03
-4.890000e-05,-1.200000e-03
-4.880000e-05,9.333334e-04
-4.870000e-05,1.226667e-02
-4.860000e-05,1.000000e-02
-4.850000e-05,-8.000000e-03
-4.840000e-05,2.360000e-02
-4.830000e-05,-5.733334e-03
-4.820000e-05,-1.200000e-03
-4.810000e-05,-8.000000e-03
-4.800000e-05,5.466667e-03
-4.790000e-05,-1.200000e-03
-4.780000e-05,1.906667e-02
-4.770000e-05,-8.000000e-03
-4.760000e-05,7.733333e-03
-4.750000e-05,-1.200000e-03
-4.740000e-05,1.226667e-02
-4.730000e-05,-3.466667e-03
-4.720000e-05,9.333334e-04
-4.710000e-05,1.000000e-02
-4.700000e-05,2.586667e-02
-4.690000e-05,-3.466667e-03
-4.680000e-05,1.000000e-02
-4.670000e-05,-1.253333e-02
-4.660000e-05,5.466667e-03
-4.650000e-05,1.000000e-02
-4.640000e-05,-1.933333e-02
-4.630000e-05,-1.200000e-03
-4.620000e-05,-5.733334e-03
-4.610000e-05,-5.733334e-03
-4.600000e-05,7.733333e-03
-4.590000e-05,-3.466667e-03
-4.580000e-05,-3.466667e-03
-4.570000e-05,-3.466667e-03
-4.560000e-05,-1.200000e-03
-4.550000e-05,7.733333e-03
-4.540000e-05,1.453333e-02
-4.530000e-05,-1.200000e-03
-4.520000e-05,1.000000e-02
-4.510000e-05,-1.480000e-02
-4.500000e-05,-1.026667e-02
-4.490000e-05,1.000000e-02
-4.480000e-05,9.333334e-04
-4.470000e-05,9.333334e-04
-4.460000e-05,1.680000e-02
-4.450000e-05,-1.480000e-02
-4.440000e-05,1.226667e-02
-4.430000e-05,-1.026667e-02
-4.420000e-05,-1.200000e-03
-4.410000e-05,9.333334e-04
-4.400000e-05,-1.480000e-02
-4.390000e-05,1.453333e-02
