Time(s),CH1V
-1.600000e-05,-6.545333e-01
-1.598000e-05,-8.014667e-01
-1.596000e-05,-9.620000e-01
-1.594000e-05,-1.136000e+00
-1.592000e-05,-1.294267e+00
-1.590000e-05,-1.434400e+00
-1.588000e-05,-1.570000e+00
-1.586000e-05,-1.716933e+00
-1.584000e-05,-1.843467e+00
-1.582000e-05,-1.956533e+00
-1.580000e-05,-2.040133e+00
-1.578000e-05,-2.137333e+00
-1.576000e-05,-2.230000e+00
-1.574000e-05,-2.302400e+00
-1.572000e-05,-2.367867e+00
-1.570000e-05,-2.415333e+00
-1.568000e-05,-2.449333e+00
-1.566000e-05,-2.458400e+00
-1.564000e-05,-2.460533e+00
-1.562000e-05,-2.465067e+00
-1.560000e-05,-2.460533e+00
-1.558000e-05,-2.428933e+00
-1.556000e-05,-2.392800e+00
-1.554000e-05,-2.361200e+00
-1.552000e-05,-2.295600e+00
-1.550000e-05,-2.205200e+00
-1.548000e-05,-2.114800e+00
-1.546000e-05,-2.044667e+00
-1.544000e-05,-1.961067e+00
-1.542000e-05,-1.861600e+00
-1.540000e-05,-1.762133e+00
-1.538000e-05,-1.667200e+00
-1.536000e-05,-1.563200e+00
-1.534000e-05,-1.441200e+00
-1.532000e-05,-1.323600e+00
-1.530000e-05,-1.215067e+00
-1.528000e-05,-1.108933e+00
-1.526000e-05,-1.013867e+00
-1.524000e-05,-8.760000e-01
-1.522000e-05,-8.037333e-01
-1.520000e-05,-6.793333e-01
-1.518000e-05,-5.709333e-01
-1.516000e-05,-4.669333e-01
-1.514000e-05,-3.765333e-01
-1.512000e-05,-2.928000e-01
-1.510000e-05,-2.046667e-01
-1.508000e-05,-1.210667e-01
-1.506000e-05,-6.680000e-02
-1.504000e-05,7.733333e-03
-1.502000e-05,6.653333e-02
-1.500000e-05,1.298667e-01
-1.498000e-05,1.569333e-01
-1.496000e-05,1.750667e-01
-1.494000e-05,2.180000e-01
-1.492000e-05,2.338667e-01
-1.490000e-05,2.496000e-01
-1.488000e-05,2.677333e-01
-1.486000e-05,2.632000e-01
-1.484000e-05,2.925333e-01
-1.482000e-05,3.016000e-01
-1.480000e-05,3.220000e-01
-1.478000e-05,3.672000e-01
-1.476000e-05,4.124000e-01
-1.474000e-05,4.621333e-01
-1.472000e-05,5.118667e-01
-1.470000e-05,5.480000e-01
-1.468000e-05,6.204000e-01
-1.466000e-05,6.813334e-01
-1.464000e-05,7.333333e-01
-1.462000e-05,8.034667e-01
-1.460000e-05,8.486667e-01
-1.458000e-05,8.916000e-01
-1.456000e-05,9.368000e-01
