Time(s),CH1V
0.000000e+00,2.201333e-01
5.000000e-08,3.184000e-01
1.000000e-07,4.190667e-01
1.500000e-07,5.208000e-01
2.000000e-07,6.021333e-01
2.500000e-07,6.665334e-01
3.000000e-07,7.354667e-01
3.500000e-07,7.953333e-01
4.000000e-07,8.349333e-01
4.500000e-07,8.700000e-01
5.000000e-07,8.621333e-01
5.500000e-07,8.270667e-01
6.000000e-07,7.309334e-01
6.500000e-07,6.009333e-01
7.000000e-07,4.302667e-01
7.500000e-07,2.381333e-01
8.000000e-07,-2.626667e-02
8.500000e-07,-2.749333e-01
9.000000e-07,-5.506667e-01
9.500000e-07,-8.241333e-01
1.000000e-06,-1.070533e+00
1.050000e-06,-1.313600e+00
1.100000e-06,-1.509067e+00
1.150000e-06,-1.661733e+00
1.200000e-06,-1.775867e+00
1.250000e-06,-1.818800e+00
1.300000e-06,-1.836800e+00
1.350000e-06,-1.808667e+00
1.400000e-06,-1.705733e+00
1.450000e-06,-1.591600e+00
1.500000e-06,-1.430000e+00
1.550000e-06,-1.238933e+00
1.600000e-06,-1.061600e+00
1.650000e-06,-8.592000e-01
1.700000e-06,-6.773334e-01
1.750000e-06,-4.726667e-01
1.800000e-06,-3.088000e-01
1.850000e-06,-1.754667e-01
1.900000e-06,-9.186666e-02
1.950000e-06,-9.333333e-03
2.000000e-06,3.253333e-02
2.050000e-06,5.053334e-02
2.100000e-06,1.274667e-01
2.150000e-06,2.449333e-01
2.200000e-06,3.784000e-01
2.250000e-06,5.230667e-01
2.300000e-06,6.654667e-01
2.350000e-06,7.864000e-01
2.400000e-06,9.028000e-01
2.450000e-06,1.038400e+00
2.500000e-06,1.146933e+00
2.550000e-06,1.275733e+00
2.600000e-06,1.359333e+00
2.650000e-06,1.428267e+00
2.700000e-06,1.479200e+00
2.750000e-06,1.536800e+00
2.800000e-06,1.565067e+00
2.850000e-06,1.583200e+00
2.900000e-06,1.558267e+00
2.950000e-06,1.465600e+00
3.000000e-06,1.320933e+00
3.050000e-06,1.101733e+00
3.100000e-06,8.304000e-01
3.150000e-06,4.993334e-01
3.200000e-06,1.184000e-01
3.250000e-06,-2.737333e-01
3.300000e-06,-6.773334e-01
3.350000e-06,-1.076267e+00
3.400000e-06,-1.430000e+00
3.450000e-06,-1.782667e+00
3.500000e-06,-2.056133e+00
3.550000e-06,-2.251600e+00
3.600000e-06,-2.390667e+00
3.650000e-06,-2.448267e+00
3.700000e-06,-2.454000e+00
3.750000e-06,-2.372533e+00
3.800000e-06,-2.212133e+00
3.850000e-06,-2.008667e+00
3.900000e-06,-1.762267e+00
3.950000e-06,-1.491067e+00
4.000000e-06,-1.222000e+00
4.050000e-06,-9.518667e-01
4.100000e-06,-6.682667e-01
4.150000e-06,-4.206667e-01
4.200000e-06,-1.822667e-01
4.250000e-06,-1.266667e-02
4.300000e-06,1.297333e-01
4.350000e-06,2.269333e-01
4.400000e-06,2.721334e-01
4.450000e-06,3.026667e-01
4.500000e-06,3.376000e-01
4.550000e-06,4.484000e-01
4.600000e-06,5.976000e-01
4.650000e-06,7.366667e-01
4.700000e-06,8.756000e-01
4.750000e-06,1.014667e+00
4.800000e-06,1.128800e+00
4.850000e-06,1.262133e+00
4.900000e-06,1.375200e+00
4.950000e-06,1.489333e+00
5.000000e-06,1.574133e+00
5.050000e-06,1.637333e+00
5.100000e-06,1.693867e+00
5.150000e-06,1.730133e+00
5.200000e-06,1.750400e+00
5.250000e-06,1.775333e+00
5.300000e-06,1.730133e+00
5.350000e-06,1.652133e+00
5.400000e-06,1.506267e+00
5.450000e-06,1.279067e+00
5.500000e-06,1.004533e+00
5.550000e-06,6.778667e-01
5.600000e-06,2.992000e-01
5.650000e-06,-9.866667e-02
5.700000e-06,-5.122667e-01
5.750000e-06,-9.192000e-01
5.800000e-06,-1.305733e+00
5.850000e-06,-1.679733e+00
5.900000e-06,-1.999600e+00
5.950000e-06,-2.192933e+00
6.000000e-06,-2.350000e+00
6.050000e-06,-2.426800e+00
6.100000e-06,-2.442667e+00
6.150000e-06,-2.388400e+00
6.200000e-06,-2.241467e+00
6.250000e-06,-2.026800e+00
6.300000e-06,-1.780400e+00
6.350000e-06,-1.524933e+00
6.400000e-06,-1.262667e+00
6.450000e-06,-9.824000e-01
6.500000e-06,-7.180000e-01
6.550000e-06,-4.693334e-01
6.600000e-06,-2.161333e-01
6.650000e-06,-4.666667e-02
6.700000e-06,1.048000e-01
6.750000e-06,2.042667e-01
6.800000e-06,2.744000e-01
6.850000e-06,2.992000e-01
6.900000e-06,3.309333e-01
6.950000e-06,4.122667e-01
7.000000e-06,5.592000e-01
7.050000e-06,6.846667e-01
7.100000e-06,8.485333e-01
7.150000e-06,9.637333e-01
7.200000e-06,1.092667e+00
7.250000e-06,1.219200e+00
7.300000e-06,1.330000e+00
7.350000e-06,1.437333e+00
