Time(s),CH1V
-2.000000e-05,-2.601333e-01
-1.990000e-05,-1.295333e-01
-1.980000e-05,-1.133333e-03
-1.970000e-05,8.106667e-02
-1.960000e-05,1.778667e-01
-1.950000e-05,3.017333e-01
-1.940000e-05,4.053333e-01
-1.930000e-05,4.852667e-01
-1.920000e-05,5.404667e-01
-1.910000e-05,5.900000e-01
-1.900000e-05,6.350667e-01
-1.890000e-05,6.226667e-01
-1.880000e-05,5.393333e-01
-1.870000e-05,3.501333e-01
-1.860000e-05,7.093333e-02
-1.850000e-05,-2.241333e-01
-1.840000e-05,-4.910000e-01
-1.830000e-05,-6.880667e-01
-1.820000e-05,-7.657334e-01
-1.810000e-05,-7.623333e-01
-1.800000e-05,-6.508667e-01
-1.790000e-05,-5.428000e-01
-1.780000e-05,-4.335333e-01
-1.770000e-05,-3.187333e-01
-1.760000e-05,-1.892000e-01
-1.750000e-05,-6.646667e-02
-1.740000e-05,6.980000e-02
-1.730000e-05,1.463333e-01
-1.720000e-05,2.420667e-01
-1.710000e-05,3.558000e-01
-1.700000e-05,4.548667e-01
-1.690000e-05,5.258000e-01
-1.680000e-05,5.810000e-01
-1.670000e-05,6.238000e-01
-1.660000e-05,6.598000e-01
-1.650000e-05,6.339334e-01
-1.640000e-05,5.697333e-01
-1.630000e-05,3.783333e-01
-1.620000e-05,1.114667e-01
-1.610000e-05,-1.869333e-01
-1.600000e-05,-4.628667e-01
-1.590000e-05,-6.835334e-01
-1.580000e-05,-7.894000e-01
-1.570000e-05,-7.815334e-01
-1.560000e-05,-6.869333e-01
-1.550000e-05,-6.070000e-01
-1.540000e-05,-5.078667e-01
-1.530000e-05,-3.941333e-01
-1.520000e-05,-2.872000e-01
-1.510000e-05,-1.554000e-01
-1.500000e-05,-4.060000e-02
-1.490000e-05,6.186667e-02
-1.480000e-05,1.553333e-01
-1.470000e-05,2.803333e-01
-1.460000e-05,3.918000e-01
-1.450000e-05,4.616667e-01
-1.440000e-05,5.224667e-01
-1.430000e-05,5.855333e-01
-1.420000e-05,6.384000e-01
-1.410000e-05,6.305333e-01
-1.400000e-05,5.607333e-01
-1.390000e-05,4.098667e-01
-1.380000e-05,1.531333e-01
-1.370000e-05,-1.498000e-01
-1.360000e-05,-4.324000e-01
-1.350000e-05,-6.497334e-01
-1.340000e-05,-7.578667e-01
-1.330000e-05,-7.657334e-01
-1.320000e-05,-6.801333e-01
-1.310000e-05,-5.630667e-01
-1.300000e-05,-4.628667e-01
-1.290000e-05,-3.446000e-01
-1.280000e-05,-2.264000e-01
-1.270000e-05,-1.092667e-01
-1.260000e-05,3.040000e-02
-1.250000e-05,1.216000e-01
-1.240000e-05,2.094000e-01
-1.230000e-05,3.344000e-01
-1.220000e-05,4.346000e-01
-1.210000e-05,5.089334e-01
-1.200000e-05,5.641333e-01
-1.190000e-05,6.125333e-01
-1.180000e-05,6.576000e-01
-1.170000e-05,6.418000e-01
-1.160000e-05,5.978667e-01
-1.150000e-05,4.447334e-01
-1.140000e-05,1.734000e-01
-1.130000e-05,-1.148667e-01
-1.120000e-05,-4.009333e-01
-1.110000e-05,-6.306000e-01
-1.100000e-05,-7.623333e-01
-1.090000e-05,-7.882667e-01
-1.080000e-05,-7.139333e-01
-1.070000e-05,-6.294667e-01
-1.060000e-05,-5.394000e-01
-1.050000e-05,-4.200667e-01
-1.040000e-05,-3.074667e-01
-1.030000e-05,-1.869333e-01
-1.020000e-05,-5.406667e-02
-1.010000e-05,3.146667e-02
-1.000000e-05,1.294667e-01
-9.900000e-06,2.476667e-01
-9.800000e-06,3.546667e-01
-9.700000e-06,4.380000e-01
-9.600000e-06,5.112000e-01
-9.500000e-06,5.720000e-01
-9.400000e-06,6.272000e-01
-9.300000e-06,6.350667e-01
-9.200000e-06,6.091334e-01
-9.100000e-06,4.638667e-01
-9.000000e-06,2.105333e-01
-8.900000e-06,-7.773334e-02
-8.800000e-06,-3.614667e-01
-8.700000e-06,-5.946000e-01
-8.600000e-06,-7.364666e-01
-8.500000e-06,-7.792667e-01
-8.400000e-06,-7.026667e-01
-8.300000e-06,-5.923333e-01
-8.200000e-06,-4.921333e-01
-8.100000e-06,-3.705333e-01
-8.000000e-06,-2.522667e-01
-7.900000e-06,-1.272667e-01
-7.800000e-06,1.346667e-02
-7.700000e-06,1.080667e-01
-7.600000e-06,1.688667e-01
-7.500000e-06,2.049333e-01
-7.400000e-06,1.778667e-01
-7.300000e-06,1.227333e-01
-7.200000e-06,3.486667e-02
-7.100000e-06,-5.406667e-02
-7.000000e-06,-1.160000e-01
-6.900000e-06,-1.802000e-01
-6.800000e-06,-1.869333e-01
