Time(s),CH1V
0.000000e+00,2.647867e+00
5.000000e-08,3.586667e-02
1.000000e-07,1.666667e-02
1.500000e-07,1.213333e-02
2.000000e-07,1.666667e-02
2.500000e-07,2.226667e-02
3.000000e-07,1.666667e-02
3.500000e-07,-1.493333e-02
4.000000e-07,-1.466667e-03
4.500000e-07,8.000000e-04
5.000000e-07,5.333333e-03
5.500000e-07,-9.333333e-03
6.000000e-07,-2.400000e-02
6.500000e-07,-2.666667e-04
7.000000e-07,3.271733e+00
7.500000e-07,3.268267e+00
8.000000e-07,3.285200e+00
8.500000e-07,3.266000e+00
9.000000e-07,3.267200e+00
9.500000e-07,3.258133e+00
1.000000e-06,3.271733e+00
1.050000e-06,3.281867e+00
1.100000e-06,3.271733e+00
1.150000e-06,3.262667e+00
1.200000e-06,3.289733e+00
1.250000e-06,3.264933e+00
1.300000e-06,3.292000e+00
1.350000e-06,3.289733e+00
1.400000e-06,3.280667e+00
1.450000e-06,3.281867e+00
1.500000e-06,3.280667e+00
1.550000e-06,3.289733e+00
1.600000e-06,3.305600e+00
1.650000e-06,3.270533e+00
1.700000e-06,3.294267e+00
1.750000e-06,3.305600e+00
1.800000e-06,3.287467e+00
1.850000e-06,3.297733e+00
1.900000e-06,3.301067e+00
1.950000e-06,3.285200e+00
2.000000e-06,3.292000e+00
2.050000e-06,3.278400e+00
2.100000e-06,3.280667e+00
2.150000e-06,3.288667e+00
2.200000e-06,3.269467e+00
2.250000e-06,3.284133e+00
2.300000e-06,3.278400e+00
2.350000e-06,3.286400e+00
2.400000e-06,3.303333e+00
2.450000e-06,4.826667e-02
2.500000e-06,-5.560000e-02
2.550000e-06,-1.257333e-01
2.600000e-06,3.933333e-02
2.650000e-06,-1.040000e-02
2.700000e-06,-5.120000e-02
2.750000e-06,5.280000e-02
2.800000e-06,8.000000e-04
2.850000e-06,-5.560000e-02
2.900000e-06,3.933333e-02
2.950000e-06,-1.386667e-02
3.000000e-06,2.346667e-02
3.050000e-06,-4.213334e-02
3.100000e-06,5.592000e-01
3.150000e-06,3.215200e+00
3.200000e-06,3.253600e+00
