Time(s),CH1V
-5.000000e-06,-1.949333e-01
-4.990000e-06,-1.932000e-01
-4.980000e-06,-1.870000e-01
-4.970000e-06,-1.696000e-01
-4.960000e-06,-1.600000e-01
-4.950000e-06,-1.526667e-01
-4.940000e-06,-1.307333e-01
-4.930000e-06,-1.268000e-01
-4.920000e-06,-1.070667e-01
-4.910000e-06,-9.860000e-02
-4.900000e-06,-9.246667e-02
-4.890000e-06,-7.160000e-02
-4.880000e-06,-8.006667e-02
-4.870000e-06,-5.920000e-02
-4.860000e-06,-3.840000e-02
-4.850000e-06,-2.320000e-02
-4.840000e-06,-3.840000e-02
-4.830000e-06,-7.400000e-03
-4.820000e-06,3.266667e-03
-4.810000e-06,4.400000e-03
-4.800000e-06,1.680000e-02
-4.790000e-06,2.806667e-02
-4.780000e-06,3.706667e-02
-4.770000e-06,4.266667e-02
-4.760000e-06,7.646666e-02
-4.750000e-06,8.100000e-02
-4.740000e-06,7.086667e-02
-4.730000e-06,8.100000e-02
-4.720000e-06,9.673333e-02
-4.710000e-06,1.068667e-01
-4.700000e-06,1.125333e-01
-4.690000e-06,1.299333e-01
-4.680000e-06,1.282667e-01
-4.670000e-06,1.412000e-01
-4.660000e-06,1.384000e-01
-4.650000e-06,1.519333e-01
-4.640000e-06,1.598000e-01
-4.630000e-06,1.699333e-01
-4.620000e-06,1.789333e-01
-4.610000e-06,1.890667e-01
-4.600000e-06,2.026000e-01
-4.590000e-06,2.150000e-01
-4.580000e-06,2.318667e-01
-4.570000e-06,2.312667e-01
-4.560000e-06,2.386000e-01
-4.550000e-06,2.572000e-01
-4.540000e-06,2.678667e-01
-4.530000e-06,2.870667e-01
-4.520000e-06,2.892667e-01
-4.510000e-06,2.988667e-01
-4.500000e-06,2.994000e-01
-4.490000e-06,3.163333e-01
-4.480000e-06,3.410667e-01
-4.470000e-06,3.416667e-01
-4.460000e-06,3.500667e-01
-4.450000e-06,3.608000e-01
-4.440000e-06,3.850000e-01
-4.430000e-06,3.923333e-01
-4.420000e-06,3.850000e-01
-4.410000e-06,3.985333e-01
-4.400000e-06,4.075333e-01
-4.390000e-06,4.227333e-01
-4.380000e-06,4.244000e-01
-4.370000e-06,4.356667e-01
-4.360000e-06,4.379333e-01
-4.350000e-06,4.497333e-01
-4.340000e-06,4.446667e-01
-4.330000e-06,4.570667e-01
-4.320000e-06,4.559333e-01
