Time(s),CH1V
-5.000000e-05,-8.000000e-03
-4.990000e-05,5.066667e-02
-4.980000e-05,2.405333e-01
-4.970000e-05,4.869334e-01
-4.960000e-05,7.989333e-01
-4.950000e-05,9.797333e-01
-4.940000e-05,1.004667e+00
-4.930000e-05,8.577334e-01
-4.920000e-05,5.752000e-01
-4.910000e-05,2.134667e-01
-4.900000e-05,-2.364000e-01
-4.890000e-05,-5.866666e-01
-4.880000e-05,-8.421333e-01
-4.870000e-05,-9.506667e-01
-4.860000e-05,-8.986667e-01
-4.850000e-05,-7.110667e-01
-4.840000e-05,-4.510667e-01
-4.830000e-05,-1.346667e-01
-4.820000e-05,1.162667e-01
-4.810000e-05,3.242667e-01
-4.800000e-05,4.124000e-01
-4.790000e-05,3.942667e-01
-4.780000e-05,2.722667e-01
-4.770000e-05,5.293334e-02
-4.760000e-05,-1.617333e-01
-4.750000e-05,-2.476000e-01
-4.740000e-05,-9.400000e-02
-4.730000e-05,1.456000e-01
-4.720000e-05,3.785333e-01
-4.710000e-05,5.864000e-01
-4.700000e-05,6.972000e-01
-4.690000e-05,6.293333e-01
-4.680000e-05,4.305333e-01
-4.670000e-05,1.546667e-01
-4.660000e-05,-2.024000e-01
-4.650000e-05,-5.166667e-01
-4.640000e-05,-7.630666e-01
-4.630000e-05,-8.714667e-01
-4.620000e-05,-8.805333e-01
-4.610000e-05,-7.449334e-01
-4.600000e-05,-5.257334e-01
-4.590000e-05,-2.634667e-01
-4.580000e-05,-3.293333e-02
-4.570000e-05,1.796000e-01
-4.560000e-05,2.970667e-01
-4.550000e-05,3.174667e-01
-4.540000e-05,2.473333e-01
-4.530000e-05,1.049333e-01
-4.520000e-05,-8.040000e-02
-4.510000e-05,-2.250667e-01
-4.500000e-05,-3.629333e-01
-4.490000e-05,-4.172000e-01
-4.480000e-05,-3.856000e-01
-4.470000e-05,-2.950667e-01
-4.460000e-05,-1.392000e-01
-4.450000e-05,1.680000e-02
-4.440000e-05,1.682667e-01
-4.430000e-05,2.993333e-01
-4.420000e-05,3.220000e-01
-4.410000e-05,3.310667e-01
-4.400000e-05,3.038667e-01
-4.390000e-05,2.248000e-01
-4.380000e-05,1.230667e-01
-4.370000e-05,1.680000e-02
-4.360000e-05,-5.773333e-02
-4.350000e-05,-6.226667e-02
-4.340000e-05,-8.493333e-02
-4.330000e-05,-4.200000e-02
-4.320000e-05,4.626667e-02
-4.310000e-05,1.501333e-01
-4.300000e-05,2.293333e-01
-4.290000e-05,2.700000e-01
-4.280000e-05,3.038667e-01
-4.270000e-05,3.785333e-01
-4.260000e-05,5.412000e-01
-4.250000e-05,7.717333e-01
-4.240000e-05,9.572000e-01
-4.230000e-05,1.058933e+00
-4.220000e-05,1.013600e+00
-4.210000e-05,8.102667e-01
-4.200000e-05,4.666667e-01
-4.190000e-05,6.880000e-02
-4.180000e-05,-3.833333e-01
-4.170000e-05,-7.426667e-01
-4.160000e-05,-9.754667e-01
-4.150000e-05,-1.052400e+00
-4.140000e-05,-9.981334e-01
-4.130000e-05,-8.082667e-01
-4.120000e-05,-5.664000e-01
-4.110000e-05,-2.409333e-01
-4.100000e-05,-1.480000e-02
-4.090000e-05,1.434667e-01
-4.080000e-05,2.202667e-01
-4.070000e-05,1.660000e-01
-4.060000e-05,5.466667e-03
