Time(s),CH1V
-5.000000e-06,-9.530667e-01
-4.990000e-06,-8.874667e-01
-4.980000e-06,-8.264000e-01
-4.970000e-06,-7.766667e-01
-4.960000e-06,-7.337334e-01
-4.950000e-06,-6.693333e-01
-4.940000e-06,-6.049333e-01
-4.930000e-06,-5.608000e-01
-4.920000e-06,-4.784000e-01
-4.910000e-06,-4.512000e-01
-4.900000e-06,-4.037333e-01
-4.890000e-06,-3.517333e-01
-4.880000e-06,-2.974667e-01
-4.870000e-06,-2.500000e-01
-4.860000e-06,-2.070667e-01
-4.850000e-06,-1.484000e-01
-4.840000e-06,-1.144000e-01
-4.830000e-06,-7.146667e-02
-4.820000e-06,-4.440000e-02
-4.810000e-06,-2.533333e-03
-4.800000e-06,3.480000e-02
-4.790000e-06,5.853333e-02
-4.780000e-06,1.025333e-01
-4.770000e-06,1.353333e-01
-4.760000e-06,1.704000e-01
-4.750000e-06,1.749333e-01
-4.740000e-06,2.156000e-01
-4.730000e-06,2.302667e-01
-4.720000e-06,2.449333e-01
-4.710000e-06,2.698667e-01
-4.700000e-06,2.856000e-01
-4.690000e-06,2.992000e-01
-4.680000e-06,3.196000e-01
-4.670000e-06,3.241333e-01
-4.660000e-06,3.173333e-01
-4.650000e-06,3.264000e-01
-4.640000e-06,3.332000e-01
-4.630000e-06,3.274667e-01
-4.620000e-06,3.398667e-01
-4.610000e-06,3.625333e-01
-4.600000e-06,3.466667e-01
-4.590000e-06,3.388000e-01
-4.580000e-06,3.398667e-01
-4.570000e-06,3.342667e-01
-4.560000e-06,3.105333e-01
-4.550000e-06,3.478667e-01
-4.540000e-06,3.489333e-01
-4.530000e-06,3.772000e-01
-4.520000e-06,3.964000e-01
-4.510000e-06,4.314667e-01
-4.500000e-06,4.302667e-01
-4.490000e-06,4.496000e-01
-4.480000e-06,4.868000e-01
-4.470000e-06,5.185333e-01
-4.460000e-06,5.365334e-01
-4.450000e-06,5.693333e-01
-4.440000e-06,6.089333e-01
-4.430000e-06,6.112000e-01
-4.420000e-06,6.473333e-01
-4.410000e-06,6.756000e-01
-4.400000e-06,6.948000e-01
-4.390000e-06,7.230667e-01
-4.380000e-06,7.738667e-01
-4.370000e-06,8.078667e-01
-4.360000e-06,8.326667e-01
-4.350000e-06,8.632000e-01
-4.340000e-06,8.824000e-01
-4.330000e-06,8.982667e-01
-4.320000e-06,9.344000e-01
-4.310000e-06,9.672000e-01
-4.300000e-06,9.773334e-01
-4.290000e-06,1.012400e+00
-4.280000e-06,1.063200e+00
-4.270000e-06,1.065467e+00
-4.260000e-06,1.097200e+00
-4.250000e-06,1.118667e+00
-4.240000e-06,1.135600e+00
-4.230000e-06,1.167200e+00
-4.220000e-06,1.207867e+00
-4.210000e-06,1.250800e+00
-4.200000e-06,1.262133e+00
-4.190000e-06,1.297200e+00
-4.180000e-06,1.311867e+00
-4.170000e-06,1.336800e+00
-4.160000e-06,1.357067e+00
-4.150000e-06,1.367333e+00
-4.140000e-06,1.406800e+00
-4.130000e-06,1.431733e+00
-4.120000e-06,1.467867e+00
-4.110000e-06,1.481467e+00
-4.100000e-06,1.519867e+00
-4.090000e-06,1.520933e+00
-4.080000e-06,1.540133e+00
-4.070000e-06,1.572933e+00
-4.060000e-06,1.585467e+00
-4.050000e-06,1.619333e+00
-4.040000e-06,1.635200e+00
-4.030000e-06,1.663333e+00
-4.020000e-06,1.666800e+00
-4.010000e-06,1.665600e+00
-4.000000e-06,1.687067e+00
-3.990000e-06,1.696133e+00
-3.980000e-06,1.727867e+00
-3.970000e-06,1.735733e+00
-3.960000e-06,1.748133e+00
-3.950000e-06,1.765067e+00
-3.940000e-06,1.777600e+00
-3.930000e-06,1.776400e+00
-3.920000e-06,1.782000e+00
-3.910000e-06,1.792267e+00
-3.900000e-06,1.800133e+00
-3.890000e-06,1.816000e+00
-3.880000e-06,1.818267e+00
-3.870000e-06,1.827333e+00
-3.860000e-06,1.822800e+00
-3.850000e-06,1.834000e+00
-3.840000e-06,1.829467e+00
-3.830000e-06,1.846533e+00
-3.820000e-06,1.854400e+00
-3.810000e-06,1.853200e+00
-3.800000e-06,1.872533e+00
-3.790000e-06,1.851067e+00
-3.780000e-06,1.861200e+00
-3.770000e-06,1.846533e+00
-3.760000e-06,1.838533e+00
-3.750000e-06,1.825067e+00
-3.740000e-06,1.822800e+00
-3.730000e-06,1.812533e+00
-3.720000e-06,1.786533e+00
-3.710000e-06,1.791067e+00
-3.700000e-06,1.745867e+00
-3.690000e-06,1.724400e+00
-3.680000e-06,1.691600e+00
-3.670000e-06,1.665600e+00
-3.660000e-06,1.635200e+00
-3.650000e-06,1.603467e+00
-3.640000e-06,1.574133e+00
-3.630000e-06,1.514267e+00
-3.620000e-06,1.472400e+00
-3.610000e-06,1.414800e+00
-3.600000e-06,1.359333e+00
-3.590000e-06,1.325467e+00
-3.580000e-06,1.262133e+00
