Time(s),CH1V
-5.000000e-05,3.061333e-01
-4.990000e-05,5.774667e-01
-4.980000e-05,9.752000e-01
-4.970000e-05,1.375333e+00
-4.960000e-05,1.642000e+00
-4.950000e-05,1.743733e+00
-4.940000e-05,1.567467e+00
-4.930000e-05,1.083733e+00
-4.920000e-05,3.965333e-01
-4.910000e-05,-4.172000e-01
-4.900000e-05,-1.188000e+00
-4.890000e-05,-1.775733e+00
-4.880000e-05,-2.128267e+00
-4.870000e-05,-2.141867e+00
-4.860000e-05,-1.902267e+00
-4.850000e-05,-1.429867e+00
-4.840000e-05,-8.128000e-01
-4.830000e-05,-2.657333e-01
-4.820000e-05,2.066667e-01
-4.810000e-05,5.005333e-01
-4.800000e-05,5.752000e-01
-4.790000e-05,4.349333e-01
-4.780000e-05,1.298667e-01
-4.770000e-05,4.400000e-02
-4.760000e-05,2.564000e-01
-4.750000e-05,5.321333e-01
-4.740000e-05,9.277334e-01
-4.730000e-05,1.332400e+00
-4.720000e-05,1.608133e+00
-4.710000e-05,1.746000e+00
-4.700000e-05,1.614933e+00
-4.690000e-05,1.149333e+00
-4.680000e-05,4.937333e-01
-4.670000e-05,-3.200000e-01
-4.660000e-05,-1.099867e+00
-4.650000e-05,-1.723733e+00
-4.640000e-05,-2.089867e+00
-4.630000e-05,-2.150933e+00
-4.620000e-05,-1.947467e+00
-4.610000e-05,-1.488667e+00
-4.600000e-05,-8.918667e-01
-4.590000e-05,-3.177333e-01
-4.580000e-05,1.546667e-01
-4.570000e-05,4.757333e-01
-4.560000e-05,5.818667e-01
-4.550000e-05,4.689333e-01
-4.540000e-05,1.841333e-01
-4.530000e-05,1.680000e-02
-4.520000e-05,2.066667e-01
-4.510000e-05,5.096000e-01
-4.500000e-05,8.712000e-01
-4.490000e-05,1.273600e+00
-4.480000e-05,1.583333e+00
-4.470000e-05,1.741467e+00
-4.460000e-05,1.635333e+00
-4.450000e-05,1.214800e+00
-4.440000e-05,5.909333e-01
-4.430000e-05,-2.182667e-01
-4.420000e-05,-1.011733e+00
-4.410000e-05,-1.662667e+00
-4.400000e-05,-2.071867e+00
-4.390000e-05,-2.160000e+00
-4.380000e-05,-1.976933e+00
-4.370000e-05,-1.549600e+00
-4.360000e-05,-9.642667e-01
-4.350000e-05,-3.945333e-01
-4.340000e-05,9.373333e-02
-4.330000e-05,4.530667e-01
-4.320000e-05,5.818667e-01
-4.310000e-05,4.824000e-01
-4.300000e-05,2.316000e-01
-4.290000e-05,1.226667e-02
-4.280000e-05,2.066667e-01
-4.270000e-05,4.757333e-01
-4.260000e-05,8.237333e-01
-4.250000e-05,1.242000e+00
-4.240000e-05,1.551600e+00
-4.230000e-05,1.743733e+00
-4.220000e-05,1.669200e+00
-4.210000e-05,1.294000e+00
-4.200000e-05,6.768000e-01
-4.190000e-05,-1.120000e-01
-4.180000e-05,-9.302667e-01
-4.170000e-05,-1.599333e+00
-4.160000e-05,-2.031067e+00
-4.150000e-05,-2.155467e+00
-4.140000e-05,-2.022133e+00
-4.130000e-05,-1.615200e+00
-4.120000e-05,-1.043333e+00
-4.110000e-05,-4.578667e-01
-4.100000e-05,5.066667e-02
-4.090000e-05,4.282667e-01
-4.080000e-05,5.796000e-01
-4.070000e-05,5.141333e-01
-4.060000e-05,2.632000e-01
-4.050000e-05,1.000000e-02
-4.040000e-05,1.637333e-01
-4.030000e-05,4.328000e-01
-4.020000e-05,7.853333e-01
-4.010000e-05,1.180933e+00
-4.000000e-05,1.513200e+00
-3.990000e-05,1.730267e+00
-3.980000e-05,1.687200e+00
-3.970000e-05,1.357200e+00
-3.960000e-05,7.740000e-01
-3.950000e-05,-5.733334e-03
-3.940000e-05,-8.173333e-01
-3.930000e-05,-1.508933e+00
-3.920000e-05,-1.981333e+00
-3.910000e-05,-2.160000e+00
-3.900000e-05,-2.062800e+00
-3.890000e-05,-1.680800e+00
-3.880000e-05,-1.117867e+00
-3.870000e-05,-5.346667e-01
-3.860000e-05,9.333334e-04
-3.850000e-05,3.920000e-01
-3.840000e-05,5.684000e-01
-3.830000e-05,5.277333e-01
-3.820000e-05,3.061333e-01
-3.810000e-05,3.266667e-02
-3.800000e-05,1.389333e-01
-3.790000e-05,3.942667e-01
-3.780000e-05,7.130667e-01
-3.770000e-05,1.135733e+00
-3.760000e-05,1.504133e+00
-3.750000e-05,1.732533e+00
-3.740000e-05,1.712133e+00
-3.730000e-05,1.425067e+00
-3.720000e-05,8.668000e-01
-3.710000e-05,8.693334e-02
-3.700000e-05,-7.110667e-01
-3.690000e-05,-1.434400e+00
-3.680000e-05,-1.947467e+00
-3.670000e-05,-2.160000e+00
-3.660000e-05,-2.080800e+00
-3.650000e-05,-1.741733e+00
-3.640000e-05,-1.183467e+00
-3.630000e-05,-6.184000e-01
-3.620000e-05,-6.226667e-02
-3.610000e-05,3.468000e-01
-3.600000e-05,5.570667e-01
-3.590000e-05,5.457333e-01
-3.580000e-05,3.422667e-01
-3.570000e-05,3.946667e-02
-3.560000e-05,1.298667e-01
-3.550000e-05,3.490667e-01
-3.540000e-05,6.836000e-01
-3.530000e-05,1.097333e+00
-3.520000e-05,1.461200e+00
-3.510000e-05,1.696267e+00
-3.500000e-05,1.721200e+00
-3.490000e-05,1.468000e+00
-3.480000e-05,9.481333e-01
-3.470000e-05,1.864000e-01
-3.460000e-05,-6.116000e-01
-3.450000e-05,-1.355200e+00
-3.440000e-05,-1.890933e+00
-3.430000e-05,-2.137333e+00
-3.420000e-05,-2.119333e+00
-3.410000e-05,-1.798267e+00
-3.400000e-05,-1.271600e+00
-3.390000e-05,-6.974667e-01
-3.380000e-05,-1.324000e-01
-3.370000e-05,3.129333e-01
-3.360000e-05,5.434667e-01
-3.350000e-05,5.593333e-01
-3.340000e-05,3.672000e-01
-3.330000e-05,7.786667e-02
-3.320000e-05,1.140000e-01
-3.310000e-05,3.106667e-01
-3.300000e-05,6.226667e-01
-3.290000e-05,1.038533e+00
-3.280000e-05,1.425067e+00
-3.270000e-05,1.664667e+00
-3.260000e-05,1.725733e+00
-3.250000e-05,1.529067e+00
-3.240000e-05,1.034000e+00
-3.230000e-05,2.654667e-01
-3.220000e-05,-5.189334e-01
-3.210000e-05,-1.280667e+00
-3.200000e-05,-1.843467e+00
-3.190000e-05,-2.130533e+00
-3.180000e-05,-2.144133e+00
-3.170000e-05,-1.841200e+00
-3.160000e-05,-1.332667e+00
-3.150000e-05,-7.630666e-01
-3.140000e-05,-1.956000e-01
-3.130000e-05,2.632000e-01
-3.120000e-05,5.298667e-01
-3.110000e-05,5.729333e-01
-3.100000e-05,3.988000e-01
-3.090000e-05,1.117333e-01
-3.080000e-05,7.786667e-02
-3.070000e-05,2.858667e-01
-3.060000e-05,5.864000e-01
-3.050000e-05,9.933333e-01
-3.040000e-05,1.377600e+00
-3.030000e-05,1.651067e+00
-3.020000e-05,1.741467e+00
-3.010000e-05,1.572000e+00
-3.000000e-05,1.095067e+00
-2.990000e-05,3.672000e-01
-2.980000e-05,-4.262667e-01
-2.970000e-05,-1.181200e+00
-2.960000e-05,-1.786933e+00
-2.950000e-05,-2.123733e+00
-2.940000e-05,-2.146400e+00
-2.930000e-05,-1.895467e+00
-2.920000e-05,-1.398267e+00
-2.910000e-05,-8.466667e-01
-2.900000e-05,-2.589333e-01
-2.890000e-05,2.180000e-01
-2.880000e-05,5.096000e-01
-2.870000e-05,5.774667e-01
-2.860000e-05,4.192000e-01
-2.850000e-05,1.298667e-01
-2.840000e-05,5.520000e-02
-2.830000e-05,2.496000e-01
-2.820000e-05,5.434667e-01
-2.810000e-05,9.436000e-01
-2.800000e-05,1.343733e+00
-2.790000e-05,1.621733e+00
-2.780000e-05,1.741467e+00
-2.770000e-05,1.614933e+00
-2.760000e-05,1.176400e+00
-2.750000e-05,4.780000e-01
-2.740000e-05,-3.200000e-01
-2.730000e-05,-1.084000e+00
-2.720000e-05,-1.721467e+00
-2.710000e-05,-2.085333e+00
-2.700000e-05,-2.155467e+00
-2.690000e-05,-1.947467e+00
-2.680000e-05,-1.470533e+00
-2.670000e-05,-9.100000e-01
-2.660000e-05,-3.245333e-01
-2.650000e-05,1.705333e-01
-2.640000e-05,4.846667e-01
-2.630000e-05,5.909333e-01
-2.620000e-05,4.666667e-01
-2.610000e-05,1.796000e-01
-2.600000e-05,4.400000e-02
-2.590000e-05,1.976000e-01
-2.580000e-05,5.050667e-01
-2.570000e-05,8.916000e-01
-2.560000e-05,1.278133e+00
-2.550000e-05,1.590133e+00
-2.540000e-05,1.748267e+00
-2.530000e-05,1.637600e+00
-2.520000e-05,1.242000e+00
-2.510000e-05,5.638667e-01
-2.500000e-05,-2.205333e-01
-2.490000e-05,-1.002667e+00
-2.480000e-05,-1.662667e+00
-2.470000e-05,-2.058267e+00
-2.460000e-05,-2.175733e+00
-2.450000e-05,-1.985867e+00
-2.440000e-05,-1.536133e+00
-2.430000e-05,-9.822667e-01
-2.420000e-05,-3.968000e-01
-2.410000e-05,1.185333e-01
-2.400000e-05,4.621333e-01
-2.390000e-05,5.752000e-01
-2.380000e-05,4.757333e-01
-2.370000e-05,2.180000e-01
-2.360000e-05,3.946667e-02
-2.350000e-05,1.796000e-01
-2.340000e-05,4.757333e-01
-2.330000e-05,8.396000e-01
-2.320000e-05,1.242000e+00
-2.310000e-05,1.558400e+00
-2.300000e-05,1.748267e+00
-2.290000e-05,1.666933e+00
-2.280000e-05,1.305200e+00
-2.270000e-05,6.656000e-01
-2.260000e-05,-1.256000e-01
-2.250000e-05,-9.032000e-01
-2.240000e-05,-1.594800e+00
-2.230000e-05,-2.022133e+00
-2.220000e-05,-2.180267e+00
-2.210000e-05,-2.019867e+00
-2.200000e-05,-1.606133e+00
-2.190000e-05,-1.063600e+00
-2.180000e-05,-4.624000e-01
-2.170000e-05,6.200000e-02
-2.160000e-05,4.282667e-01
-2.150000e-05,5.706667e-01
-2.140000e-05,5.050667e-01
-2.130000e-05,2.586667e-01
-2.120000e-05,3.493333e-02
-2.110000e-05,1.524000e-01
-2.100000e-05,4.260000e-01
-2.090000e-05,7.921333e-01
-2.080000e-05,1.194533e+00
-2.070000e-05,1.522267e+00
-2.060000e-05,1.709867e+00
-2.050000e-05,1.694000e+00
-2.040000e-05,1.377600e+00
-2.030000e-05,7.628000e-01
-2.020000e-05,-1.480000e-02
-2.010000e-05,-8.173333e-01
-2.000000e-05,-1.513467e+00
-1.990000e-05,-1.992667e+00
-1.980000e-05,-2.175733e+00
-1.970000e-05,-2.062800e+00
-1.960000e-05,-1.658133e+00
-1.950000e-05,-1.126933e+00
-1.940000e-05,-5.302667e-01
-1.930000e-05,-1.200000e-03
-1.920000e-05,3.920000e-01
-1.910000e-05,5.752000e-01
-1.900000e-05,5.209333e-01
-1.890000e-05,3.016000e-01
-1.880000e-05,4.626667e-02
-1.870000e-05,1.208000e-01
-1.860000e-05,3.920000e-01
-1.850000e-05,7.356000e-01
-1.840000e-05,1.144800e+00
-1.830000e-05,1.495067e+00
-1.820000e-05,1.705333e+00
-1.810000e-05,1.707600e+00
-1.800000e-05,1.443200e+00
-1.790000e-05,8.418667e-01
-1.780000e-05,8.013333e-02
-1.770000e-05,-7.110667e-01
-1.760000e-05,-1.432133e+00
-1.750000e-05,-1.940667e+00
-1.740000e-05,-2.171200e+00
-1.730000e-05,-2.087600e+00
-1.720000e-05,-1.723733e+00
-1.710000e-05,-1.215067e+00
-1.700000e-05,-6.116000e-01
-1.690000e-05,-6.680000e-02
-1.680000e-05,3.694667e-01
-1.670000e-05,5.525333e-01
-1.660000e-05,5.277333e-01
-1.650000e-05,3.513333e-01
-1.640000e-05,5.746667e-02
-1.630000e-05,1.049333e-01
