Time(s),CH1V,CH2V
-1.000000e-06,4.990667e+00,-1.292800e+00
-9.900000e-07,4.991734e+00,-1.292267e+00
-9.800000e-07,4.992800e+00,-1.298533e+00
-9.700000e-07,4.996267e+00,-1.307733e+00
-9.600000e-07,5.021067e+00,-1.308933e+00
-9.500000e-07,4.984267e+00,-1.323333e+00
-9.400000e-07,5.014667e+00,-1.327333e+00
-9.300000e-07,5.025333e+00,-1.322667e+00
-9.200000e-07,5.055733e+00,-1.322667e+00
-9.100000e-07,5.026400e+00,-1.315200e+00
-9.000000e-07,5.049334e+00,-1.313467e+00
-8.900000e-07,5.066667e+00,-1.306000e+00
-8.800000e-07,5.042667e+00,-1.302000e+00
-8.700000e-07,5.087200e+00,-1.279067e+00
-8.600000e-07,5.066667e+00,-1.266400e+00
-8.500000e-07,5.092534e+00,-1.256533e+00
-8.400000e-07,5.051467e+00,-1.249067e+00
-8.300000e-07,5.069867e+00,-1.232400e+00
-8.200000e-07,5.068800e+00,-1.210000e+00
-8.100000e-07,5.042667e+00,-1.196800e+00
-8.000000e-07,5.047200e+00,-1.168667e+00
-7.900000e-07,5.014667e+00,-1.150800e+00
-7.800000e-07,5.023200e+00,-1.122667e+00
-7.700000e-07,5.012533e+00,-1.103600e+00
-7.600000e-07,5.008000e+00,-1.088133e+00
-7.500000e-07,5.001600e+00,-1.042133e+00
-7.400000e-07,4.990667e+00,-1.026000e+00
-7.300000e-07,4.992800e+00,-9.817333e-01
-7.200000e-07,4.969067e+00,-9.638667e-01
-7.100000e-07,4.993867e+00,-9.168000e-01
-7.000000e-07,4.973333e+00,-8.902667e-01
-6.900000e-07,5.009067e+00,-8.517333e-01
-6.800000e-07,4.977600e+00,-8.144000e-01
-6.700000e-07,4.989600e+00,-7.920000e-01
-6.600000e-07,4.984267e+00,-7.362667e-01
-6.500000e-07,4.982133e+00,-7.000000e-01
-6.400000e-07,5.012533e+00,-6.649333e-01
-6.300000e-07,4.977600e+00,-6.241333e-01
-6.200000e-07,5.016800e+00,-5.809333e-01
-6.100000e-07,5.008000e+00,-5.522667e-01
-6.000000e-07,5.029867e+00,-5.130666e-01
-5.900000e-07,5.027467e+00,-4.712000e-01
-5.800000e-07,5.032000e+00,-4.292000e-01
-5.700000e-07,5.038400e+00,-3.802667e-01
-5.600000e-07,5.003733e+00,-3.613333e-01
-5.500000e-07,5.046134e+00,-3.130667e-01
-5.400000e-07,5.021067e+00,-2.785333e-01
-5.300000e-07,5.036267e+00,-2.377333e-01
