Time(s),CH1V
-5.000000e-07,3.282933e+00
-4.950000e-07,3.268267e+00
-4.900000e-07,3.284133e+00
-4.850000e-07,3.289733e+00
-4.800000e-07,3.278400e+00
-4.750000e-07,3.277867e+00
-4.700000e-07,3.284133e+00
-4.650000e-07,3.296000e+00
-4.600000e-07,3.285200e+00
-4.550000e-07,3.285867e+00
-4.500000e-07,3.276133e+00
-4.450000e-07,3.292000e+00
-4.400000e-07,3.278400e+00
-4.350000e-07,3.280133e+00
-4.300000e-07,3.280667e+00
-4.250000e-07,3.266533e+00
-4.200000e-07,3.278400e+00
-4.150000e-07,3.284133e+00
-4.100000e-07,3.287467e+00
-4.050000e-07,3.275600e+00
-4.000000e-07,3.271733e+00
-3.950000e-07,3.289200e+00
-3.900000e-07,3.271733e+00
-3.850000e-07,3.288000e+00
-3.800000e-07,3.274000e+00
-3.750000e-07,3.275600e+00
-3.700000e-07,3.276133e+00
-3.650000e-07,3.297733e+00
-3.600000e-07,3.285200e+00
-3.550000e-07,3.293733e+00
-3.500000e-07,3.288667e+00
-3.450000e-07,3.267200e+00
-3.400000e-07,3.303333e+00
-3.350000e-07,3.270000e+00
-3.300000e-07,3.296533e+00
-3.250000e-07,3.277333e+00
-3.200000e-07,3.285200e+00
-3.150000e-07,3.289733e+00
-3.100000e-07,3.287467e+00
-3.050000e-07,3.295467e+00
-3.000000e-07,3.262667e+00
-2.950000e-07,3.293200e+00
-2.900000e-07,3.278400e+00
-2.850000e-07,3.279600e+00
-2.800000e-07,3.289733e+00
-2.750000e-07,3.266000e+00
-2.700000e-07,3.281867e+00
-2.650000e-07,3.284667e+00
-2.600000e-07,3.296533e+00
-2.550000e-07,3.282933e+00
-2.500000e-07,3.278400e+00
-2.450000e-07,3.277867e+00
-2.400000e-07,3.287467e+00
-2.350000e-07,3.281333e+00
-2.300000e-07,3.284133e+00
-2.250000e-07,3.285200e+00
-2.200000e-07,3.271733e+00
-2.150000e-07,3.311733e+00
-2.100000e-07,3.285200e+00
-2.050000e-07,3.290267e+00
-2.000000e-07,3.278400e+00
-1.950000e-07,3.293200e+00
-1.900000e-07,3.301067e+00
-1.850000e-07,3.267200e+00
-1.800000e-07,3.301067e+00
-1.750000e-07,3.280667e+00
-1.700000e-07,3.289733e+00
-1.650000e-07,3.294267e+00
-1.600000e-07,3.282933e+00
-1.550000e-07,3.296000e+00
-1.500000e-07,3.276133e+00
-1.450000e-07,3.292000e+00
-1.400000e-07,3.292000e+00
-1.350000e-07,3.288000e+00
-1.300000e-07,3.280667e+00
-1.250000e-07,3.282400e+00
-1.200000e-07,3.287467e+00
-1.150000e-07,3.291467e+00
-1.100000e-07,3.285200e+00
-1.050000e-07,3.279067e+00
-1.000000e-07,3.292000e+00
-9.500000e-08,3.281867e+00
-9.000000e-08,3.287467e+00
-8.500000e-08,3.279067e+00
-8.000000e-08,3.285200e+00
-7.500000e-08,3.284667e+00
-7.000000e-08,3.284133e+00
-6.500000e-08,3.296000e+00
-6.000000e-08,3.282933e+00
-5.500000e-08,3.298267e+00
-5.000000e-08,3.274000e+00
-4.500000e-08,3.288000e+00
-4.000000e-08,3.298800e+00
-3.500000e-08,3.284667e+00
-3.000000e-08,3.289733e+00
-2.500000e-08,3.264933e+00
-2.000000e-08,3.282933e+00
-1.500000e-08,3.276133e+00
-1.000000e-08,3.293200e+00
-5.000000e-09,3.288000e+00
2.431911e-22,2.202533e+00
5.000000e-09,6.094667e-01
1.000000e-08,-1.618667e-01
1.500000e-08,-3.896000e-01
2.000000e-08,-3.314667e-01
2.500000e-08,-1.313333e-01
3.000000e-08,-2.746667e-02
3.500000e-08,5.173333e-02
4.000000e-08,1.893333e-02
4.500000e-08,6.533334e-03
5.000000e-08,4.040000e-02
5.500000e-08,2.573333e-02
6.000000e-08,5.506667e-02
6.500000e-08,6.133333e-02
7.000000e-08,7.093333e-02
7.500000e-08,3.066667e-03
8.000000e-08,-3.306667e-02
8.500000e-08,1.840000e-02
9.000000e-08,3.933333e-02
9.500000e-08,-2.000000e-02
1.000000e-07,-1.493333e-02
1.050000e-07,6.813333e-02
1.100000e-07,-1.466667e-03
1.150000e-07,-3.640000e-02
1.200000e-07,2.346667e-02
1.250000e-07,4.600000e-02
1.300000e-07,9.866667e-03
1.350000e-07,-5.680000e-02
1.400000e-07,9.866667e-03
1.450000e-07,5.173333e-02
1.500000e-07,3.706667e-02
1.550000e-07,-1.160000e-02
1.600000e-07,9.866667e-03
1.650000e-07,3.760000e-02
1.700000e-07,1.213333e-02
1.750000e-07,2.453333e-02
1.800000e-07,3.253333e-02
1.850000e-07,1.493333e-02
1.900000e-07,1.106667e-02
1.950000e-07,2.853333e-02
2.000000e-07,1.893333e-02
2.050000e-07,8.000000e-04
2.100000e-07,2.226667e-02
2.150000e-07,3.480000e-02
2.200000e-07,4.600000e-02
2.250000e-07,1.786667e-02
2.300000e-07,-1.386667e-02
2.350000e-07,-1.773333e-02
2.400000e-07,5.333333e-03
2.450000e-07,1.386667e-02
2.500000e-07,1.786667e-02
2.550000e-07,2.173333e-02
2.600000e-07,-1.946667e-02
2.650000e-07,-3.733333e-03
2.700000e-07,-5.866667e-03
2.750000e-07,1.386667e-02
2.800000e-07,5.333333e-03
2.850000e-07,8.800000e-03
2.900000e-07,2.680000e-02
2.950000e-07,8.000000e-04
3.000000e-07,-1.493333e-02
3.050000e-07,-8.800000e-03
3.100000e-07,2.906667e-02
3.150000e-07,5.000000e-02
3.200000e-07,2.346667e-02
3.250000e-07,4.800000e-03
3.300000e-07,6.533334e-03
3.350000e-07,1.213333e-02
3.400000e-07,-1.040000e-02
3.450000e-07,2.000000e-02
3.500000e-07,1.666667e-02
3.550000e-07,8.800000e-03
3.600000e-07,-1.266667e-02
3.650000e-07,3.586667e-02
3.700000e-07,5.173333e-02
3.750000e-07,3.066667e-03
3.800000e-07,8.000000e-04
3.850000e-07,-3.066667e-03
3.900000e-07,-3.186667e-02
