Time(s),CH1V
-5.000000e-05,2.950000e-01
-4.990000e-05,3.434000e-01
-4.980000e-05,4.098667e-01
-4.970000e-05,4.368667e-01
-4.960000e-05,4.425333e-01
-4.950000e-05,3.726667e-01
-4.940000e-05,2.252000e-01
-4.930000e-05,3.713333e-02
-4.920000e-05,-1.937333e-01
-4.910000e-05,-3.761333e-01
-4.900000e-05,-4.943333e-01
-4.890000e-05,-5.596667e-01
-4.880000e-05,-5.382667e-01
-4.870000e-05,-4.346667e-01
-4.860000e-05,-3.423333e-01
-4.850000e-05,-2.477333e-01
-4.840000e-05,-1.430667e-01
-4.830000e-05,-4.506667e-02
-4.820000e-05,5.400000e-02
-4.810000e-05,1.103333e-01
-4.800000e-05,1.430000e-01
-4.790000e-05,1.430000e-01
-4.780000e-05,1.204667e-01
-4.770000e-05,2.004000e-01
-4.760000e-05,2.961333e-01
-4.750000e-05,3.479334e-01
-4.740000e-05,4.019333e-01
-4.730000e-05,4.312667e-01
-4.720000e-05,4.414000e-01
-4.710000e-05,3.816667e-01
-4.700000e-05,2.522000e-01
-4.690000e-05,5.626667e-02
-4.680000e-05,-1.554000e-01
-4.670000e-05,-3.558667e-01
-4.660000e-05,-4.853334e-01
-4.650000e-05,-5.675333e-01
-4.640000e-05,-5.562667e-01
-4.630000e-05,-4.639333e-01
-4.620000e-05,-3.761333e-01
-4.610000e-05,-2.792667e-01
-4.600000e-05,-1.824667e-01
-4.590000e-05,-7.773334e-02
-4.580000e-05,1.800000e-02
-4.570000e-05,7.426666e-02
-4.560000e-05,1.204667e-01
-4.550000e-05,1.407333e-01
-4.540000e-05,1.069333e-01
-4.530000e-05,1.891333e-01
-4.520000e-05,2.690667e-01
-4.510000e-05,3.355334e-01
-4.500000e-05,4.019333e-01
-4.490000e-05,4.278667e-01
-4.480000e-05,4.458667e-01
-4.470000e-05,3.940667e-01
-4.460000e-05,2.634667e-01
-4.450000e-05,7.313333e-02
-4.440000e-05,-1.362667e-01
-4.430000e-05,-3.333333e-01
-4.420000e-05,-4.718667e-01
-4.410000e-05,-5.630667e-01
-4.400000e-05,-5.506667e-01
-4.390000e-05,-4.662000e-01
-4.380000e-05,-3.750000e-01
-4.370000e-05,-2.736667e-01
-4.360000e-05,-1.756667e-01
-4.350000e-05,-7.546667e-02
-4.340000e-05,1.346667e-02
-4.330000e-05,9.006667e-02
-4.320000e-05,1.373333e-01
-4.310000e-05,1.441333e-01
-4.300000e-05,1.002000e-01
-4.290000e-05,1.700000e-01
-4.280000e-05,2.510667e-01
-4.270000e-05,3.344000e-01
-4.260000e-05,3.918000e-01
-4.250000e-05,4.278667e-01
-4.240000e-05,4.526667e-01
-4.230000e-05,4.143333e-01
-4.220000e-05,2.927333e-01
-4.210000e-05,1.058000e-01
-4.200000e-05,-1.002667e-01
-4.190000e-05,-3.142000e-01
-4.180000e-05,-4.594667e-01
-4.170000e-05,-5.574000e-01
-4.160000e-05,-5.630667e-01
-4.150000e-05,-4.898667e-01
-4.140000e-05,-3.986667e-01
-4.130000e-05,-3.029333e-01
-4.120000e-05,-2.072000e-01
-4.110000e-05,-1.047333e-01
