Time(s),CH1V
-5.000000e-05,9.729334e-01
-4.990000e-05,1.251067e+00
-4.980000e-05,1.490667e+00
-4.970000e-05,1.678267e+00
-4.960000e-05,1.734800e+00
-4.950000e-05,1.648800e+00
-4.940000e-05,1.312000e+00
-4.930000e-05,6.972000e-01
-4.920000e-05,-8.040000e-02
-4.910000e-05,-8.850667e-01
-4.900000e-05,-1.628800e+00
-4.890000e-05,-2.108000e+00
-4.880000e-05,-2.363467e+00
-4.870000e-05,-2.272933e+00
-4.860000e-05,-1.904533e+00
-4.850000e-05,-1.368800e+00
-4.840000e-05,-7.721334e-01
-4.830000e-05,-2.273333e-01
-4.820000e-05,1.953333e-01
-4.810000e-05,4.530667e-01
-4.800000e-05,4.462667e-01
-4.790000e-05,3.129333e-01
-4.780000e-05,4.305333e-01
-4.770000e-05,6.881334e-01
-4.760000e-05,9.481333e-01
-4.750000e-05,1.226133e+00
-4.740000e-05,1.468000e+00
-4.730000e-05,1.664667e+00
-4.720000e-05,1.734800e+00
-4.710000e-05,1.682800e+00
-4.700000e-05,1.361733e+00
-4.690000e-05,7.966667e-01
-4.680000e-05,4.400000e-02
-4.670000e-05,-7.924000e-01
-4.660000e-05,-1.540667e+00
-4.650000e-05,-2.056000e+00
-4.640000e-05,-2.349867e+00
-4.630000e-05,-2.300133e+00
-4.620000e-05,-1.954267e+00
-4.610000e-05,-1.436667e+00
-4.600000e-05,-8.512000e-01
-4.590000e-05,-2.816000e-01
-4.580000e-05,1.546667e-01
-4.570000e-05,4.237333e-01
-4.560000e-05,4.576000e-01
-4.550000e-05,3.558667e-01
-4.540000e-05,4.192000e-01
-4.530000e-05,6.542667e-01
-4.520000e-05,8.916000e-01
-4.510000e-05,1.190000e+00
-4.500000e-05,1.447600e+00
-4.490000e-05,1.646533e+00
-4.480000e-05,1.736933e+00
-4.470000e-05,1.705333e+00
-4.460000e-05,1.413733e+00
-4.450000e-05,8.689333e-01
-4.440000e-05,1.321333e-01
-4.430000e-05,-7.020000e-01
-4.420000e-05,-1.466000e+00
-4.410000e-05,-2.006267e+00
-4.400000e-05,-2.327200e+00
-4.390000e-05,-2.309200e+00
-4.380000e-05,-2.022133e+00
-4.370000e-05,-1.511200e+00
-4.360000e-05,-9.168000e-01
-4.350000e-05,-3.561333e-01
-4.340000e-05,1.117333e-01
-4.330000e-05,4.124000e-01
-4.320000e-05,4.644000e-01
-4.310000e-05,3.445333e-01
-4.300000e-05,3.897333e-01
-4.290000e-05,6.204000e-01
-4.280000e-05,8.734667e-01
-4.270000e-05,1.160533e+00
-4.260000e-05,1.416000e+00
-4.250000e-05,1.624000e+00
-4.240000e-05,1.739200e+00
-4.230000e-05,1.703067e+00
-4.220000e-05,1.474800e+00
-4.210000e-05,9.526667e-01
-4.200000e-05,2.293333e-01
-4.190000e-05,-5.754667e-01
-4.180000e-05,-1.377867e+00
-4.170000e-05,-1.958800e+00
-4.160000e-05,-2.320400e+00
-4.150000e-05,-2.338533e+00
-4.140000e-05,-2.067333e+00
-4.130000e-05,-1.579067e+00
-4.120000e-05,-1.009467e+00
-4.110000e-05,-4.126667e-01
-4.100000e-05,4.840000e-02
-4.090000e-05,3.830667e-01
-4.080000e-05,4.530667e-01
-4.070000e-05,3.558667e-01
-4.060000e-05,3.808000e-01
-4.050000e-05,5.774667e-01
-4.040000e-05,8.509333e-01
-4.030000e-05,1.126667e+00
-4.020000e-05,1.382133e+00
-4.010000e-05,1.605867e+00
-4.000000e-05,1.725733e+00
-3.990000e-05,1.728000e+00
-3.980000e-05,1.526800e+00
-3.970000e-05,1.036267e+00
-3.960000e-05,3.220000e-01
-3.950000e-05,-4.782667e-01
-3.940000e-05,-1.292000e+00
-3.930000e-05,-1.902267e+00
-3.920000e-05,-2.284267e+00
-3.910000e-05,-2.358933e+00
-3.900000e-05,-2.121600e+00
-3.890000e-05,-1.644533e+00
-3.880000e-05,-1.081733e+00
-3.870000e-05,-4.940000e-01
-3.860000e-05,-1.200000e-03
-3.850000e-05,3.536000e-01
-3.840000e-05,4.530667e-01
-3.830000e-05,3.897333e-01
-3.820000e-05,3.581333e-01
-3.810000e-05,5.525333e-01
-3.800000e-05,8.057333e-01
-3.790000e-05,1.083733e+00
-3.780000e-05,1.341467e+00
-3.770000e-05,1.576533e+00
-3.760000e-05,1.709867e+00
-3.750000e-05,1.730267e+00
-3.740000e-05,1.565200e+00
-3.730000e-05,1.110800e+00
-3.720000e-05,4.305333e-01
-3.710000e-05,-3.720000e-01
-3.700000e-05,-1.190267e+00
-3.690000e-05,-1.823200e+00
-3.680000e-05,-2.266267e+00
-3.670000e-05,-2.354400e+00
-3.660000e-05,-2.153200e+00
-3.650000e-05,-1.696533e+00
-3.640000e-05,-1.147333e+00
-3.630000e-05,-5.686667e-01
-3.620000e-05,-5.546667e-02
-3.610000e-05,3.242667e-01
-3.600000e-05,4.644000e-01
-3.590000e-05,4.078667e-01
-3.580000e-05,3.265333e-01
-3.570000e-05,5.118667e-01
-3.560000e-05,7.762667e-01
-3.550000e-05,1.040800e+00
-3.540000e-05,1.316533e+00
-3.530000e-05,1.565200e+00
-3.520000e-05,1.700800e+00
-3.510000e-05,1.732533e+00
-3.500000e-05,1.610400e+00
-3.490000e-05,1.180933e+00
-3.480000e-05,5.321333e-01
-3.470000e-05,-2.702667e-01
-3.460000e-05,-1.097600e+00
-3.450000e-05,-1.757600e+00
-3.440000e-05,-2.220933e+00
-3.430000e-05,-2.358933e+00
-3.420000e-05,-2.198400e+00
-3.410000e-05,-1.786933e+00
-3.400000e-05,-1.217333e+00
-3.390000e-05,-6.296000e-01
-3.380000e-05,-1.120000e-01
-3.370000e-05,2.948000e-01
-3.360000e-05,4.440000e-01
-3.350000e-05,4.214667e-01
-3.340000e-05,3.333333e-01
-3.330000e-05,5.050667e-01
-3.320000e-05,7.560000e-01
-3.310000e-05,1.015867e+00
-3.300000e-05,1.273600e+00
-3.290000e-05,1.531333e+00
-3.280000e-05,1.685067e+00
-3.270000e-05,1.748267e+00
-3.260000e-05,1.639733e+00
-3.250000e-05,1.248800e+00
-3.240000e-05,6.136000e-01
-3.230000e-05,-1.798667e-01
-3.220000e-05,-9.913334e-01
-3.210000e-05,-1.692000e+00
-3.200000e-05,-2.178000e+00
-3.190000e-05,-2.361200e+00
-3.180000e-05,-2.220933e+00
-3.170000e-05,-1.841200e+00
-3.160000e-05,-1.285200e+00
-3.150000e-05,-7.065333e-01
-3.140000e-05,-1.798667e-01
-3.130000e-05,2.541333e-01
-3.120000e-05,4.417333e-01
-3.110000e-05,4.328000e-01
-3.100000e-05,3.400000e-01
-3.090000e-05,4.780000e-01
-3.080000e-05,7.153333e-01
-3.070000e-05,9.729334e-01
-3.060000e-05,1.251067e+00
-3.050000e-05,1.517733e+00
-3.040000e-05,1.651067e+00
-3.030000e-05,1.730267e+00
-3.020000e-05,1.671467e+00
-3.010000e-05,1.314267e+00
-3.000000e-05,6.926666e-01
-2.990000e-05,-6.680000e-02
-2.980000e-05,-8.986667e-01
-2.970000e-05,-1.590400e+00
-2.960000e-05,-2.126000e+00
-2.950000e-05,-2.347600e+00
-2.940000e-05,-2.259467e+00
-2.930000e-05,-1.909067e+00
-2.920000e-05,-1.359733e+00
-2.910000e-05,-7.788000e-01
-2.900000e-05,-2.205333e-01
-2.890000e-05,2.134667e-01
-2.880000e-05,4.237333e-01
-2.870000e-05,4.485333e-01
-2.860000e-05,3.333333e-01
-2.850000e-05,4.328000e-01
-2.840000e-05,6.790667e-01
-2.830000e-05,9.436000e-01
-2.820000e-05,1.217067e+00
-2.810000e-05,1.492933e+00
-2.800000e-05,1.639733e+00
-2.790000e-05,1.739200e+00
-2.780000e-05,1.691733e+00
-2.770000e-05,1.370800e+00
-2.760000e-05,7.876000e-01
-2.750000e-05,3.266667e-02
-2.740000e-05,-7.992000e-01
-2.730000e-05,-1.527067e+00
-2.720000e-05,-2.092133e+00
-2.710000e-05,-2.354400e+00
-2.700000e-05,-2.286533e+00
-2.690000e-05,-1.958800e+00
-2.680000e-05,-1.443467e+00
-2.670000e-05,-8.692000e-01
-2.660000e-05,-2.928000e-01
-2.650000e-05,1.705333e-01
-2.640000e-05,4.078667e-01
-2.630000e-05,4.576000e-01
-2.620000e-05,3.581333e-01
-2.610000e-05,4.214667e-01
-2.600000e-05,6.588000e-01
-2.590000e-05,9.097334e-01
-2.580000e-05,1.190000e+00
-2.570000e-05,1.452133e+00
-2.560000e-05,1.621733e+00
-2.550000e-05,1.732533e+00
-2.540000e-05,1.723467e+00
-2.530000e-05,1.429600e+00
-2.520000e-05,8.668000e-01
-2.510000e-05,1.321333e-01
-2.500000e-05,-6.906667e-01
-2.490000e-05,-1.436667e+00
-2.480000e-05,-2.044667e+00
-2.470000e-05,-2.324933e+00
-2.460000e-05,-2.300133e+00
-2.450000e-05,-2.010800e+00
-2.440000e-05,-1.513467e+00
-2.430000e-05,-9.280000e-01
-2.420000e-05,-3.493333e-01
-2.410000e-05,1.230667e-01
-2.400000e-05,3.942667e-01
-2.390000e-05,4.598667e-01
-2.380000e-05,3.717333e-01
-2.370000e-05,4.056000e-01
-2.360000e-05,6.249334e-01
-2.350000e-05,8.757333e-01
-2.340000e-05,1.151600e+00
-2.330000e-05,1.440933e+00
-2.320000e-05,1.603600e+00
-2.310000e-05,1.723467e+00
-2.300000e-05,1.718933e+00
-2.290000e-05,1.474800e+00
-2.280000e-05,9.526667e-01
-2.270000e-05,2.405333e-01
-2.260000e-05,-5.798666e-01
-2.250000e-05,-1.362000e+00
-2.240000e-05,-1.979067e+00
-2.230000e-05,-2.313733e+00
-2.220000e-05,-2.338533e+00
-2.210000e-05,-2.060533e+00
-2.200000e-05,-1.572267e+00
-2.190000e-05,-9.958667e-01
-2.180000e-05,-4.217333e-01
-2.170000e-05,7.333333e-02
-2.160000e-05,3.558667e-01
-2.150000e-05,4.621333e-01
-2.140000e-05,3.785333e-01
-2.130000e-05,3.694667e-01
-2.120000e-05,5.841333e-01
-2.110000e-05,8.509333e-01
-2.100000e-05,1.122133e+00
-2.090000e-05,1.395733e+00
-2.080000e-05,1.581067e+00
-2.070000e-05,1.709867e+00
-2.060000e-05,1.746000e+00
-2.050000e-05,1.535867e+00
-2.040000e-05,1.043067e+00
-2.030000e-05,3.310667e-01
-2.020000e-05,-4.940000e-01
