Time(s),CH2V
-2.500000e-05,5.556000e+00
-2.495000e-05,5.682001e+00
-2.490000e-05,5.796667e+00
-2.485000e-05,6.014667e+00
-2.480000e-05,6.278667e+00
-2.475000e-05,6.536667e+00
-2.470000e-05,6.800001e+00
-2.465000e-05,7.138667e+00
-2.460000e-05,7.494000e+00
-2.455000e-05,7.723334e+00
-2.450000e-05,8.079334e+00
-2.445000e-05,8.400001e+00
-2.440000e-05,8.778667e+00
-2.435000e-05,9.168668e+00
-2.430000e-05,9.524001e+00
-2.425000e-05,9.908668e+00
-2.420000e-05,1.024667e+01
-2.415000e-05,1.065067e+01
-2.410000e-05,1.107800e+01
-2.405000e-05,1.144200e+01
-2.400000e-05,1.170333e+01
-2.395000e-05,1.222533e+01
-2.390000e-05,1.262667e+01
-2.385000e-05,1.301333e+01
-2.380000e-05,1.327467e+01
-2.375000e-05,1.370467e+01
-2.370000e-05,1.406600e+01
-2.365000e-05,1.449600e+01
-2.360000e-05,1.478800e+01
-2.355000e-05,1.516400e+01
-2.350000e-05,1.545933e+01
-2.345000e-05,1.578067e+01
-2.340000e-05,1.623334e+01
-2.335000e-05,1.638267e+01
-2.330000e-05,1.674400e+01
-2.325000e-05,1.702733e+01
-2.320000e-05,1.717400e+01
-2.315000e-05,1.738867e+01
-2.310000e-05,1.752333e+01
-2.305000e-05,1.759534e+01
-2.300000e-05,1.767867e+01
-2.295000e-05,1.784733e+01
-2.290000e-05,1.795934e+01
-2.285000e-05,1.809733e+01
-2.280000e-05,1.813733e+01
-2.275000e-05,1.819134e+01
-2.270000e-05,1.822334e+01
-2.265000e-05,1.824333e+01
-2.260000e-05,1.840067e+01
-2.255000e-05,1.824867e+01
-2.250000e-05,1.838934e+01
-2.245000e-05,1.830933e+01
-2.240000e-05,1.822867e+01
-2.235000e-05,1.825467e+01
-2.230000e-05,1.826333e+01
-2.225000e-05,1.808267e+01
-2.220000e-05,1.806867e+01
-2.215000e-05,1.795934e+01
-2.210000e-05,1.786200e+01
-2.205000e-05,1.765867e+01
-2.200000e-05,1.750667e+01
-2.195000e-05,1.737467e+01
-2.190000e-05,1.715067e+01
-2.185000e-05,1.707333e+01
-2.180000e-05,1.687533e+01
-2.175000e-05,1.662067e+01
-2.170000e-05,1.639400e+01
-2.165000e-05,1.611600e+01
-2.160000e-05,1.588933e+01
-2.155000e-05,1.563133e+01
-2.150000e-05,1.537333e+01
-2.145000e-05,1.506333e+01
-2.140000e-05,1.473067e+01
-2.135000e-05,1.443000e+01
-2.130000e-05,1.419733e+01
-2.125000e-05,1.389067e+01
-2.120000e-05,1.357267e+01
-2.115000e-05,1.326867e+01
-2.110000e-05,1.298200e+01
-2.105000e-05,1.262333e+01
-2.100000e-05,1.244867e+01
-2.095000e-05,1.203600e+01
-2.090000e-05,1.174333e+01
-2.085000e-05,1.140800e+01
-2.080000e-05,1.108400e+01
-2.075000e-05,1.081733e+01
-2.070000e-05,1.049333e+01
-2.065000e-05,1.019800e+01
-2.060000e-05,9.994667e+00
-2.055000e-05,9.578668e+00
-2.050000e-05,9.306001e+00
-2.045000e-05,8.999334e+00
-2.040000e-05,8.813334e+00
-2.035000e-05,8.558001e+00
-2.030000e-05,8.302668e+00
