Time(s),CH1V,CH2V
-2.000000e-05,2.227467e+01,7.050667e+00
-1.980000e-05,2.195867e+01,6.797334e+00
-1.960000e-05,2.146133e+01,6.476000e+00
-1.940000e-05,2.094134e+01,6.038667e+00
-1.920000e-05,2.046667e+01,6.038667e+00
-1.900000e-05,1.983333e+01,5.256001e+00
-1.880000e-05,1.920133e+01,4.980000e+00
-1.860000e-05,1.829733e+01,4.474667e+00
-1.840000e-05,1.780000e+01,3.992000e+00
-1.820000e-05,1.712133e+01,3.508000e+00
-1.800000e-05,6.790667e+00,-3.046667e+00
-1.780000e-05,1.773333e+00,-6.657334e+00
-1.760000e-05,7.560000e-01,-7.577334e+00
-1.740000e-05,1.026667e+00,-7.301334e+00
-1.720000e-05,6.426667e-01,-7.600000e+00
-1.700000e-05,6.200001e-01,-7.462667e+00
-1.680000e-05,8.466668e-01,-7.393334e+00
-1.660000e-05,8.013334e-01,-7.370667e+00
-1.640000e-05,6.653334e-01,-7.577334e+00
-1.620000e-05,6.653334e-01,-7.348001e+00
-1.600000e-05,8.013334e-01,-7.416000e+00
-1.580000e-05,8.013334e-01,-7.301334e+00
-1.560000e-05,7.106667e-01,-7.624001e+00
-1.540000e-05,5.973334e-01,-7.462667e+00
-1.520000e-05,7.333334e-01,-7.416000e+00
-1.500000e-05,8.013334e-01,-7.462667e+00
-1.480000e-05,1.072000e+00,-7.301334e+00
-1.460000e-05,1.456000e+00,-6.956000e+00
-1.440000e-05,2.248000e+00,-6.473334e+00
-1.420000e-05,2.948000e+00,-6.082667e+00
-1.400000e-05,3.558667e+00,-5.622667e+00
-1.380000e-05,4.394667e+00,-5.140000e+00
-1.360000e-05,5.389334e+00,-4.518667e+00
-1.340000e-05,6.316000e+00,-3.874667e+00
-1.320000e-05,7.085334e+00,-3.300000e+00
-1.300000e-05,7.966667e+00,-2.609334e+00
-1.280000e-05,9.029334e+00,-1.804000e+00
-1.260000e-05,1.015867e+01,-1.137333e+00
-1.240000e-05,1.115333e+01,-6.080000e-01
-1.220000e-05,1.203600e+01,1.280000e-01
-1.200000e-05,1.325600e+01,9.093334e-01
-1.180000e-05,1.413733e+01,1.600000e+00
-1.160000e-05,1.501867e+01,2.289334e+00
-1.140000e-05,1.605867e+01,2.910667e+00
-1.120000e-05,1.712133e+01,3.554667e+00
-1.100000e-05,1.782267e+01,4.129333e+00
-1.080000e-05,1.859067e+01,4.750667e+00
-1.060000e-05,1.935867e+01,5.302667e+00
-1.040000e-05,2.021867e+01,5.808001e+00
-1.020000e-05,2.076000e+01,6.130667e+00
-1.000000e-05,2.123467e+01,6.406667e+00
-9.800000e-06,2.164267e+01,6.866667e+00
-9.600000e-06,2.220667e+01,7.028000e+00
-9.400000e-06,2.263733e+01,7.280001e+00
-9.200000e-06,2.270400e+01,7.488000e+00
