Time(s),CH2V
-2.000000e-05,4.466667e-01
-1.980000e-05,5.346667e-01
-1.960000e-05,3.146667e-01
-1.940000e-05,4.466667e-01
-1.920000e-05,5.346667e-01
-1.900000e-05,4.466667e-01
-1.880000e-05,5.346667e-01
-1.860000e-05,4.026667e-01
-1.840000e-05,4.026667e-01
-1.820000e-05,1.813333e-01
-1.800000e-05,-3.920000e-01
-1.780000e-05,-3.866667e-02
-1.760000e-05,-8.400001e-02
-1.740000e-05,-3.866667e-02
-1.720000e-05,-3.040000e-01
-1.700000e-05,-1.720000e-01
-1.680000e-05,9.333334e-02
-1.660000e-05,5.333334e-03
-1.640000e-05,5.333334e-03
-1.620000e-05,-2.160000e-01
-1.600000e-05,-3.866667e-02
-1.580000e-05,9.333334e-02
-1.560000e-05,5.333334e-03
-1.540000e-05,-2.160000e-01
-1.520000e-05,-1.720000e-01
-1.500000e-05,-2.600000e-01
-1.480000e-05,-3.040000e-01
-1.460000e-05,5.333334e-03
-1.440000e-05,5.333334e-03
-1.420000e-05,-2.600000e-01
-1.400000e-05,9.333334e-02
-1.380000e-05,-1.720000e-01
-1.360000e-05,5.333334e-03
-1.340000e-05,1.813333e-01
-1.320000e-05,1.813333e-01
-1.300000e-05,5.333334e-03
-1.280000e-05,2.253333e-01
-1.260000e-05,4.026667e-01
-1.240000e-05,1.813333e-01
-1.220000e-05,1.373333e-01
-1.200000e-05,4.906667e-01
-1.180000e-05,3.586667e-01
-1.160000e-05,9.333334e-02
-1.140000e-05,2.693334e-01
-1.120000e-05,5.786667e-01
-1.100000e-05,5.346667e-01
-1.080000e-05,3.586667e-01
-1.060000e-05,4.466667e-01
-1.040000e-05,4.466667e-01
-1.020000e-05,4.466667e-01
-1.000000e-05,5.346667e-01
-9.800000e-06,3.586667e-01
-9.600000e-06,5.346667e-01
-9.400000e-06,6.226667e-01
-9.200000e-06,5.346667e-01
-9.000000e-06,5.346667e-01
-8.800000e-06,4.906667e-01
-8.600000e-06,5.346667e-01
-8.400000e-06,6.226667e-01
-8.200000e-06,5.346667e-01
-8.000000e-06,5.346667e-01
-7.800000e-06,5.786667e-01
-7.600000e-06,4.466667e-01
-7.400000e-06,5.346667e-01
-7.200000e-06,4.026667e-01
-7.000000e-06,4.026667e-01
-6.800000e-06,4.026667e-01
-6.600000e-06,3.146667e-01
-6.400000e-06,4.466667e-01
-6.200000e-06,4.466667e-01
-6.000000e-06,4.026667e-01
-5.800000e-06,9.333334e-02
-5.600000e-06,9.333334e-02
-5.400000e-06,-2.160000e-01
-5.200000e-06,5.333334e-03
-5.000000e-06,-3.480000e-01
-4.800000e-06,-2.160000e-01
-4.600000e-06,9.333334e-02
-4.400000e-06,-2.160000e-01
-4.200000e-06,-2.160000e-01
-4.000000e-06,5.333334e-03
-3.800000e-06,3.146667e-01
