Time(s),CH2V
-2.000000e-05,0.000000e+00
-1.980000e-05,2.266667e-02
-1.960000e-05,-9.200001e-02
-1.940000e-05,2.266667e-02
-1.920000e-05,4.533334e-02
-1.900000e-05,6.800000e-02
-1.880000e-05,-2.400000e-02
-1.860000e-05,4.533334e-02
-1.840000e-05,1.840000e-01
-1.820000e-05,4.533334e-02
-1.800000e-05,2.266667e-02
-1.780000e-05,2.066667e-01
-1.760000e-05,2.520000e-01
-1.740000e-05,2.293334e-01
-1.720000e-05,9.200001e-02
-1.700000e-05,2.293334e-01
-1.680000e-05,3.213333e-01
-1.660000e-05,2.293334e-01
-1.640000e-05,1.840000e-01
-1.620000e-05,3.440000e-01
-1.600000e-05,3.213333e-01
-1.580000e-05,3.213333e-01
-1.560000e-05,6.800000e-02
-1.540000e-05,2.520000e-01
-1.520000e-05,2.520000e-01
-1.500000e-05,2.986667e-01
-1.480000e-05,1.146667e-01
-1.460000e-05,2.986667e-01
-1.440000e-05,2.760000e-01
-1.420000e-05,2.293334e-01
-1.400000e-05,1.373333e-01
-1.380000e-05,2.066667e-01
-1.360000e-05,3.680000e-01
-1.340000e-05,3.440000e-01
-1.320000e-05,1.840000e-01
-1.300000e-05,1.600000e-01
-1.280000e-05,3.213333e-01
-1.260000e-05,2.293334e-01
-1.240000e-05,6.800000e-02
-1.220000e-05,4.133334e-01
-1.200000e-05,2.520000e-01
-1.180000e-05,6.800000e-02
-1.160000e-05,-1.840000e-01
-1.140000e-05,4.533334e-02
-1.120000e-05,2.293334e-01
-1.100000e-05,1.146667e-01
-1.080000e-05,-2.400000e-02
-1.060000e-05,1.146667e-01
-1.040000e-05,1.373333e-01
-1.020000e-05,2.293334e-01
-1.000000e-05,-1.160000e-01
-9.800000e-06,-1.160000e-01
-9.600000e-06,0.000000e+00
-9.400000e-06,9.200001e-02
-9.200000e-06,-2.080000e-01
-9.000000e-06,-6.933334e-02
-8.800000e-06,0.000000e+00
-8.600000e-06,4.533334e-02
-8.400000e-06,-1.613334e-01
-8.200000e-06,2.266667e-02
-8.000000e-06,2.266667e-02
-7.800000e-06,1.146667e-01
-7.600000e-06,-9.200001e-02
-7.400000e-06,1.373333e-01
-7.200000e-06,1.600000e-01
-7.000000e-06,1.600000e-01
-6.800000e-06,-1.386667e-01
-6.600000e-06,1.600000e-01
-6.400000e-06,2.066667e-01
-6.200000e-06,1.146667e-01
-6.000000e-06,0.000000e+00
-5.800000e-06,1.840000e-01
-5.600000e-06,3.213333e-01
-5.400000e-06,1.840000e-01
-5.200000e-06,-9.200001e-02
-5.000000e-06,2.293334e-01
-4.800000e-06,3.440000e-01
-4.600000e-06,3.680000e-01
-4.400000e-06,9.200001e-02
-4.200000e-06,2.520000e-01
-4.000000e-06,4.133334e-01
-3.800000e-06,3.440000e-01
-3.600000e-06,1.840000e-01
-3.400000e-06,3.440000e-01
-3.200000e-06,3.906667e-01
-3.000000e-06,2.986667e-01
-2.800000e-06,-4.666667e-02
-2.600000e-06,0.000000e+00
-2.400000e-06,1.840000e-01
-2.200000e-06,1.373333e-01
-2.000000e-06,-2.400000e-02
-1.800000e-06,2.266667e-02
-1.600000e-06,2.986667e-01
-1.400000e-06,9.200001e-02
-1.200000e-06,-9.200001e-02
-1.000000e-06,1.373333e-01
-8.000000e-07,2.293334e-01
-6.000000e-07,1.840000e-01
-4.000000e-07,-9.200001e-02
-2.000000e-07,9.200001e-02
2.075231e-20,3.978667e+00
2.000000e-07,1.205200e+01
4.000000e-07,1.216667e+01
6.000000e-07,1.196000e+01
8.000000e-07,1.092400e+01
1.000000e-06,1.104000e+01
1.200000e-06,1.078667e+01
1.400000e-06,1.113200e+01
1.600000e-06,1.106267e+01
1.800000e-06,1.099333e+01
2.000000e-06,1.083200e+01
2.200000e-06,1.108533e+01
2.400000e-06,1.113200e+01
2.600000e-06,4.600000e-01
2.800000e-06,1.840000e-01
3.000000e-06,2.760000e-01
3.200000e-06,4.133334e-01
3.400000e-06,2.520000e-01
3.600000e-06,1.373333e-01
3.800000e-06,2.293334e-01
4.000000e-06,2.293334e-01
4.200000e-06,2.986667e-01
4.400000e-06,2.266667e-02
4.600000e-06,1.840000e-01
4.800000e-06,1.600000e-01
5.000000e-06,2.520000e-01
5.200000e-06,-6.933334e-02
5.400000e-06,1.373333e-01
5.600000e-06,1.600000e-01
5.800000e-06,2.066667e-01
6.000000e-06,-9.200001e-02
6.200000e-06,1.840000e-01
6.400000e-06,1.840000e-01
6.600000e-06,1.840000e-01
6.800000e-06,0.000000e+00
7.000000e-06,2.266667e-02
7.200000e-06,2.293334e-01
7.400000e-06,1.373333e-01
7.600000e-06,2.266667e-02
7.800000e-06,1.373333e-01
8.000000e-06,1.146667e-01
8.200000e-06,1.373333e-01
8.400000e-06,6.800000e-02
8.600000e-06,2.293334e-01
8.800000e-06,1.840000e-01
9.000000e-06,1.600000e-01
9.200000e-06,0.000000e+00
9.400000e-06,9.200001e-02
9.600000e-06,1.840000e-01
9.800000e-06,1.373333e-01
1.000000e-05,-6.933334e-02
1.020000e-05,1.600000e-01
1.040000e-05,1.600000e-01
1.060000e-05,1.373333e-01
1.080000e-05,0.000000e+00
1.100000e-05,1.146667e-01
1.120000e-05,2.066667e-01
1.140000e-05,1.373333e-01
1.160000e-05,-9.200001e-02
1.180000e-05,9.200001e-02
1.200000e-05,1.840000e-01
1.220000e-05,1.146667e-01
1.240000e-05,1.099333e+01
1.260000e-05,1.200533e+01
1.280000e-05,1.214400e+01
1.300000e-05,1.218933e+01
1.320000e-05,1.069467e+01
1.340000e-05,1.099333e+01
1.360000e-05,1.087867e+01
1.380000e-05,1.092400e+01
1.400000e-05,1.076400e+01
1.420000e-05,1.092400e+01
1.440000e-05,1.106267e+01
1.460000e-05,1.108533e+01
1.480000e-05,1.074000e+01
1.500000e-05,4.133334e-01
1.520000e-05,2.986667e-01
1.540000e-05,2.293334e-01
1.560000e-05,2.266667e-02
1.580000e-05,1.373333e-01
1.600000e-05,1.146667e-01
1.620000e-05,2.986667e-01
1.640000e-05,-6.933334e-02
1.660000e-05,2.066667e-01
1.680000e-05,1.600000e-01
1.700000e-05,1.146667e-01
1.720000e-05,-1.386667e-01
1.740000e-05,4.533334e-02
1.760000e-05,1.840000e-01
1.780000e-05,6.800000e-02
1.800000e-05,-1.386667e-01
1.820000e-05,6.800000e-02
1.840000e-05,1.146667e-01
1.860000e-05,1.146667e-01
1.880000e-05,-9.200001e-02
